"Date","S191_NITRATE_NITRITE_N_Ld_mg","S191_PHOSPHATE_Ld_mg","S191_AMMONIA_N_Ld_mg","S191_S_FLOW_cfs"
"1989-09-13",15362047.854841,221747821.209009,73470663.6535872,222638.37470784
"1989-09-15",18300385.0858752,206256104.850217,55977648.4979712,215298.64806912
"1989-09-17",38680359.3860544,346227138.426154,94804802.4168,379219.2096672
"1989-09-19",48953530.1047162,430059049.518067,173853658.315814,457509.62714688
"1989-09-20",55659593.67696,397632137.228202,155846862.295488,445276.74941568
"1989-09-22",29530166.8431168,184875481.151626,64467265.643424,207958.9214304
"1989-09-24",42587540.5333997,219741629.261092,70559238.7535616,251997.28126272
"1989-09-25",386558936.30592,1691581905.27471,572107225.732762,1546235.74522368
"1989-09-27",112875209.401329,746831864.943037,239666540.50967,773117.87261184
"1989-09-28",126835369.468174,694837241.434345,252095144.28457,787797.32588928
"1989-09-29",64420780.7080454,430783235.879754,137693271.742387,491761.68479424
"1989-10-01",35707770.0973728,210650154.531264,77067129.70656,256890.4323552
"1989-10-03",33806780.8979443,177888061.391564,43695839.2558464,229978.10134656
"1989-10-05",23961760.8998746,168950720.921149,62950388.8047552,203065.77033792
"1989-10-07",51241078.2404506,268516559.350932,83183568.57216,332734.27428864
"1989-10-09",552296080.247083,2985195269.1836,1258396132.20854,4660726.4155872
"1989-10-11",401160099.16588,4527378262.01493,1289443175.89033,4775715.46626048
"1989-10-15",105912255.39673,1662007700.07176,244412897.069376,1629419.31379584
"1989-10-17",71944000.5127334,915425385.834436,186062070.291552,826942.53462912
"1989-10-20",158741161.16669,1063861570.80036,236632786.832333,985969.94513472
"1989-10-22",98029388.9867443,494308569.937876,115600694.55984,462402.77823936
"1989-10-24",53225251.0084512,249159253.629082,83672883.681408,232424.6768928
"1989-10-25",95098391.4823488,452337566.442129,124041380.194368,413471.26731456
"1989-10-27",108138639.143808,388467265.231987,103979460.7152,415917.8428608
"1989-10-29",9013184.31234816,25923914.487959,8220493.8353664,29358.90655488
"1989-10-31",71312784.0218035,178590228.573335,78094691.4359808,205512.34588416
"1989-11-01",49425719.1851405,152441229.135122,28967454.4674816,181046.59042176
"1989-11-03",94021898.2420032,179676508.115866,48442195.815552,220191.7991616
"1989-12-23",241589548.889015,370690447.313007,42717209.0373504,474635.65597056
"1989-12-24",138258430.693569,151839371.550747,22263837.470784,222638.37470784
"1989-12-25",161199969.590661,178795740.919219,19866193.4354688,283802.76336384
"1989-12-26",311615434.173496,253859125.253409,40295099.2465728,447723.32496192
"1989-12-29",134918855.072951,118666253.719279,13358302.4824704,222638.37470784
"1989-12-31",109594351.593821,107098844.536656,20795892.14304,207958.9214304
"1990-02-26",2896745.44674816,2309567.31565056,293589.0655488,4893.15109248
"1990-07-16",33219602.7668467,504723642.038219,85728007.1402496,1071600.08925312
"1990-07-18",30724095.7096819,251307346.95868,39389866.294464,393898.66294464
"1990-07-23",35056981.002073,139030325.278407,28306879.0699968,217745.22361536
"1990-07-30",22126829.2401946,133426443.989745,26618741.9430912,166367.13714432
"1990-08-01",2385411.157584,138353847.139872,3669863.31936,183493.165968
"1990-08-06",51789111.1628083,251932447.010745,28771728.4237824,359646.60529728
"1990-08-13",94398670.8761242,420644626.816136,134855244.108749,1037348.03160576
"1990-08-15",105273699.179161,897332959.669991,300781997.654746,1671011.09808192
"1990-08-20",21960462.1030502,279242346.545649,90425432.1890304,430597.29613824
"1990-08-27",16460560.2751027,379160491.85409,164605602.751027,567605.52672768
"1990-08-29",807824993.310801,3592319107.42192,1858712373.98945,7148893.74611328
"1990-09-04",251495733.275741,1988013891.60824,574847390.34455,2395197.45976896
"1990-09-24",174215751.496658,515914278.586721,176740617.460378,841621.98790656
"1990-09-25",124271358.295715,356282563.9212,165315109.659437,570052.10227392
"1990-10-01",873471508.367512,4089181902.23007,834526918.822464,5563512.79214976
"1990-10-09",129130257.330547,695819133.753569,191469002.248742,890553.49883136
"1990-10-16",146180442.312294,1068392628.712,206026126.74887,981076.79404224
"1990-10-22",47010949.1210016,244688136.818328,69360416.735904,256890.4323552
"1990-10-24",52633179.7262611,260941961.459773,76602280.3527744,247104.13017024
"1990-10-31",83440459.0045152,223708751.50932,53457675.685344,232424.6768928
"1990-11-19",142928943.411341,140678093.9088,4501699.0050816,225084.95025408
"1991-01-15",165358169.389051,108413634.235205,13688590.1812128,273771.803624256
"1991-01-17",610407876.594042,552752366.586459,84631941.2955344,1057899.26619418
"1991-01-28",110193762.60265,144904797.822484,24793596.5855962,275484.406506624
"1991-02-26",53849127.7727424,65529079.4304922,9101261.0320128,151687.68386688
"1991-03-04",196088626.195153,188486259.671544,15729034.186777,524301.139559232
"1991-03-12",81192300.7350753,125111267.680739,20225840.0407661,288940.572010944
"1991-03-18",91088454.1620615,114595152.010335,8815011.69310272,293833.723103424
"1991-03-25",142361337.884613,113204640.79863,28746039.3805469,273771.803624256
