"","date","LZ40_PHOSPHATE, TOTAL AS P_mg/L","days"
"766",2014-04-15,0.166,13103
"767",2014-05-14,0.225,13132
"768",2014-06-04,0.197,13153
"769",2014-07-15,0.138,13194
"770",2014-08-05,0.142,13215
"771",2014-09-02,0.088,13243
"772",2014-10-07,0.147,13278
"773",2014-11-04,0.179,13306
"774",2014-12-02,0.147,13334
"775",2015-01-06,0.178,13369
"776",2015-02-03,0.332,13397
"777",2015-03-03,0.164,13425
"778",2015-04-07,0.167,13460
"779",2015-05-13,0.169,13496
"780",2015-06-03,0.136,13517
"781",2015-07-08,0.127,13552
"782",2015-08-04,0.151,13579
"783",2015-09-01,0.116,13607
"784",2015-10-06,0.115,13642
"785",2015-11-04,0.106,13671
"786",2015-12-01,0.164,13698
"787",2016-01-11,0.278,13739
"788",2016-02-02,0.154,13761
"789",2016-03-01,0.16,13789
"790",2016-04-05,0.254,13824
"791",2016-05-03,0.164,13852
"792",2016-06-14,0.131,13894
"793",2016-07-11,0.166,13921
"794",2016-08-02,0.152,13943
"795",2016-09-06,0.172,13978
"796",2016-10-18,0.182,14020
"797",2016-11-01,0.17,14034
"798",2016-12-07,0.16,14070
"799",2017-01-09,0.397,14103
"800",2017-02-07,0.139,14132
"801",2017-03-22,0.161,14175
"802",2017-04-17,0.192,14201
"803",2017-05-23,0.225,14237
"804",2017-06-20,0.225,14265
"805",2017-07-10,0.127,14285
"806",2017-08-14,0.109,14320
"807",2017-09-18,0.161,14355
"808",2017-10-10,0.14,14377
"809",2017-11-07,0.229,14405
"810",2017-12-05,0.212,14433
"811",2018-01-17,0.379,14476
"812",2018-02-06,0.258,14496
"813",2018-03-06,0.309,14524
"814",2018-04-03,0.188,14552
"815",2018-05-01,0.251,14580
"816",2018-06-05,0.217,14615
"817",2018-07-17,0.154,14657
"818",2018-08-14,0.158,14685
"819",2018-09-04,0.174,14706
"820",2018-10-16,0.112,14748
"821",2018-11-06,0.138,14769
"822",2018-12-04,0.143,14797
"823",2019-01-08,0.17,14832
"824",2019-02-12,0.131,14867
"825",2019-03-12,0.16,14895
"826",2019-04-02,0.151,14916
"827",2019-05-08,0.171,14952
"828",2019-06-05,0.138,14980
"829",2019-07-09,0.186,15014
"830",2019-08-06,0.116,15042
"831",2019-09-09,0.149,15076
"832",2019-10-01,0.241,15098
"833",2019-11-05,0.154,15133
"834",2019-12-03,0.396,15161
"835",2020-01-14,0.063,15203
"836",2020-02-04,0.181,15224
"837",2020-02-12,0.158,15232
"838",2020-03-11,0.171,15260
"839",2020-04-08,0.175,15288
"840",2020-05-06,0.181,15316
"841",2020-05-21,0.134,15331
"842",2020-06-03,0.182,15344
"843",2020-06-24,0.152,15365
"844",2020-07-08,0.117,15379
"845",2020-07-22,0.189,15393
"846",2020-08-05,0.148,15407
"847",2020-08-26,0.182,15428
"848",2020-09-09,0.127,15442
"849",2020-09-24,0.144,15457
"850",2020-10-07,0.216,15470
"851",2020-10-22,0.121,15485
"852",2020-12-16,0.153,15540
"853",2021-01-06,0.213,15561
"854",2021-02-10,0.122,15596
"855",2021-03-11,0.303,15625
"856",2021-04-07,0.208,15652
"857",2021-05-05,0.161,15680
"858",2021-05-19,0.364,15694
"859",2021-06-09,0.164,15715
"860",2021-07-07,0.206,15743
"861",2021-07-21,0.111,15757
"862",2021-08-04,0.243,15771
"863",2021-08-25,0.116,15792
"864",2021-09-09,0.125,15807
"865",2021-09-22,0.123,15820
"866",2021-10-06,0.078,15834
"867",2021-10-20,0.128,15848
"868",2021-11-03,0.16,15862
"869",2021-12-08,0.112,15897
"870",2022-01-05,0.179,15925
"871",2022-02-09,0.311,15960
"872",2022-03-09,0.17,15988
"873",2022-04-06,0.246,16016
"874",2022-05-04,0.141,16044
"875",2022-05-17,0.177,16057
"876",2022-06-08,0.161,16079
"877",2022-06-22,0.234,16093
"878",2022-07-07,0.151,16108
"879",2022-07-20,0.136,16121
"880",2022-08-03,0.165,16135
"881",2022-08-17,0.093,16149
"882",2022-09-07,0.116,16170
"883",2022-09-21,0.136,16184
"884",2022-10-05,0.23,16198
"885",2022-10-19,0.339,16212
"886",2022-11-16,0.232,16240
"887",2022-12-07,0.184,16261
"888",2023-01-11,0.205,16296
"889",2023-02-08,0.262,16324
"890",2023-03-08,0.238,16352
"891",2023-04-05,0.205,16380
"892",2023-05-03,0.299,16408
