"Date","S72_AMMONIA-N_mg/L","S72_S_FLOW_cfs"
"2008-08-13",0.067,272695.31038391
"2008-08-28",0.155,2155115.00141643
"2008-09-10",0.303,379317.07268905
"2008-09-24",0.292,206123.98977072
"2008-10-22",0.126,68406.2522728704
"2008-11-05",0.103,243874.650449203
"2009-06-17",0.044,272621.913117523
"2009-08-26",0.086,322507.588505357
"2009-12-23",0.18,154745.90329968
"2010-03-17",0.363,346532.960369434
"2010-04-21",0.254,76210.828265376
"2010-07-14",0.105,166146.945345158
"2010-08-04",0.13,291680.736622733
"2010-08-18",0.17,128812.202509536
"2010-09-29",0.198,201157.441411853
"2011-07-20",0.346,391158.498332851
"2011-08-24",0.075,212436.154680019
"2011-09-07",0.25,299436.381104314
"2011-10-19",0.097,1250958.54254797
"2011-11-02",0.666,561586.95088393
"2011-11-16",0.382,132212.94251881
"2011-12-21",0.052,95343.0490369728
"2012-01-18",0.057,120836.366228794
"2012-08-08",0.23,145008.532625645
"2012-08-22",0.018,1159921.46647238
"2012-09-05",0.028,1221354.97843847
"2012-09-20",0.139,745447.103183866
"2012-10-03",0.262,776763.270175738
"2012-12-19",0.165,155944.725317338
"2013-01-09",0.141,226088.046228038
"2013-05-08",0.093,562.7123756352
"2013-06-05",0.159,128543.07919945
"2013-06-19",0.204,104052.857981587
"2013-07-10",0.158,269343.501885562
"2013-08-07",0.3,1617015.1757764
"2013-09-04",0.224,272891.03642761
"2013-09-18",0.164,881868.155642208
"2013-10-07",0.217,95367.5147924352
"2014-03-03",0.088,366.986331936
"2014-05-05",0.015,198637.468599226
"2014-07-07",0.115,435563.844497107
"2014-08-18",0.214,296182.435627814
"2014-10-06",0.147,118267.461905242
"2014-12-01",0.195,154134.25941312
"2014-12-15",0.122,163382.314977907
"2015-05-04",0.098,180997.658910835
"2015-08-31",0.071,188924.563680653
"2015-09-28",0.232,171945.329389747
"2015-11-23",0.366,346508.494613971
"2015-12-07",0.268,237171.033452506
"2016-01-04",0.065,114181.680743021
"2016-01-20",0.195,143883.107874374
"2016-02-01",0.177,712565.1278424
"2016-02-15",0.242,215274.182313658
"2016-02-29",0.164,308635.505158176
"2016-03-28",0.089,379072.415134426
"2016-05-23",0.188,289723.476185741
"2016-06-06",0.164,343230.08338201
"2016-07-06",0.305,107453.597990861
"2016-08-01",0.22,216399.607064928
"2016-09-26",0.126,603447.858480096
"2017-04-10",0.069,24.4657554624
"2017-06-19",0.172,282236.955014246
"2017-07-05",0.094,41738.5788188544
"2017-08-14",0.516,320819.451378451
"2017-08-28",0.556,73495.1294090496
"2017-09-13",0.23,2648858.41240312
"2017-09-25",0.152,417459.185454931
"2017-10-09",0.464,589575.775132915
"2017-10-23",0.287,273160.159737696
"2017-11-06",0.182,282432.681057946
"2018-01-29",0.07,293.5890655488
"2018-04-23",0.039,142488.559813018
"2018-05-07",0.036,191811.522825216
"2018-06-18",0.05,131797.024675949
"2018-07-02",0.159,104493.24157991
"2019-02-11",0.112,7780.1102370432
"2020-06-01",0.097,369702.030792326
"2020-06-15",0.34,149241.10832064
"2020-07-13",0.205,235066.978482739
"2020-07-27",0.502,440310.201056813
"2020-08-10",0.351,191028.618650419
"2020-08-24",0.475,272108.132252813
"2020-09-08",0.424,870858.565684128
"2020-09-21",0.345,293882.654614349
"2020-10-05",0.333,1351390.46872113
"2020-10-19",0.244,749508.418590624
"2020-11-02",0.203,207812.126897626
"2020-11-16",0.175,249477.308450093
"2020-11-30",0.216,128689.873732224
"2020-12-28",0.125,123747.791128819
"2021-01-11",0.118,171137.959459488
"2021-07-12",0.213,350545.344265267
"2021-07-26",0.198,827358.452471981
"2021-08-09",0.3,1087771.95361377
"2021-08-23",0.214,997150.795381037
"2021-09-07",0.069,100113.871352141
"2021-09-20",0.128,889917.389189338
"2021-10-04",0.132,696564.52376999
"2021-10-18",0.146,699280.222626317
"2021-11-01",0.172,57372.196559328
"2021-11-15",0.069,309858.792931296
"2022-01-10",0.263,146329.683420614
"2022-06-13",0.222,350153.892177869
"2022-06-27",0.035,194209.166860531
"2022-07-11",0.226,159565.657125773
"2022-08-22",0.012,69849.731845152
"2022-09-19",0.476,456261.873618298
"2022-10-03",0.456,778720.53061273
"2022-10-17",0.241,499321.603232122
"2022-10-31",0.273,53580.004462656
"2022-11-14",0.232,636354.299577024
"2022-11-28",0.38,550357.169126688
"2022-12-12",0.296,342936.494316461
"2022-12-27",0.168,553072.867983014
"2023-01-09",0.204,208130.181718637
"2023-01-23",0.111,141412.066572672
"2023-02-20",0.154,8856.6034773888
"2023-04-17",0.008,271251.830811629
"2023-05-01",0.052,353261.043121594
