"date","S65E_S_FLOW_cfs","S71_S_FLOW_cfs","S84_S_FLOW_cfs"
2001-01-21,0,0,0
2001-01-22,0,0,0
2001-01-23,0,0,0
2001-01-24,0,0,0
2001-01-25,0,0,0
2001-01-26,0,0,0
2001-01-27,0,0,0
2001-01-28,0,0,0
2001-01-29,0,0,0
2001-01-30,0,0,0
2001-01-31,0,0,0
2001-02-01,0,0,0
2001-02-02,0,0,0
2001-02-03,0,0,0
2001-02-04,0,0,0
2001-02-05,0,0,0
2001-02-06,0,0,0
2001-02-07,0,0,0
2001-02-08,0,0,8.51
2001-02-09,0,0,1.46
2001-02-10,0,0,0
2001-02-11,0,0,0
2001-02-12,0,0,0
2001-02-13,0,0,0
2001-02-14,0,0,0
2001-02-15,0,0,0
2001-02-16,0,0,0.11
2001-02-17,0,0,0
2001-02-18,0,0,0
2001-02-19,0,0.52,0
2001-02-20,0,31.92,0
2001-02-21,0,0,0
2001-02-22,0,0.05,0.12
2001-02-23,0,0,0
2001-02-24,0,0,0.01
2001-02-25,0,0,0
2001-02-26,0,0,0
2001-02-27,0,0,0
2001-02-28,0,0,0.02
2001-03-01,0,0,0
2001-03-02,0,0,0
2001-03-03,0,0,0
2001-03-04,0,0,0
2001-03-05,0,0,0
2001-03-06,0,0,0
2001-03-07,0,0,0
2001-03-08,0,0,0
2001-03-09,0,0,0
2001-03-10,0,0,0
2001-03-11,0,0,0
2001-03-12,0,0,0
2001-03-13,0,0,0
2001-03-14,0,0,0
2001-03-15,0,0,0
2001-03-16,0,0,0
2001-03-17,0,0,0
2001-03-18,0,0,0
2001-03-19,0,0,0
2001-03-20,0,0,0
2001-03-21,0,0,0
2001-03-22,0,0,0
2001-03-23,0,0,0
2001-03-24,0,0,0
2001-03-25,0,0,0
2001-03-26,0,0,0
2001-03-27,0,0,0
2001-03-28,0,0,0
2001-03-29,0,0,0
2001-03-30,0,104.6,0
2001-03-31,0,69.43,0
2001-04-01,0,107.165,0
2001-04-02,0,175.69,0
2001-04-03,0,48.22,0
2001-04-04,0,6.665,0
2001-04-05,0,17.095,0
2001-04-06,0,0,0
2001-04-07,0,0,0
2001-04-08,0,0,0
2001-04-09,0,10.93,0
2001-04-10,0,9.165,0
2001-04-11,0,0,0
2001-04-12,0,0,0
2001-04-13,0,0,0
2001-04-14,0,0,0
2001-04-15,0,0,0
2001-04-16,0,0,0
2001-04-17,0,0,0
2001-04-18,0,0,0
2001-04-19,0,0,0
2001-04-20,0,0,0
2001-04-21,0,100.2,0
2001-04-22,0,10.025,0
2001-04-23,0,0,0
2001-04-24,0,0,0
2001-04-25,0,0,0
2001-04-26,0,0,0
2001-04-27,0,0,0
2001-04-28,0,0,0
2001-04-29,0,0,0
2001-04-30,0,0,0
2001-05-01,0,0,0
2001-05-02,0,0,0
2001-05-03,0,0,0
2001-05-04,0,0,0
2001-05-05,0,0,0
2001-05-06,0,0,0
2001-05-07,0,0,0
2001-05-08,0,0,0
2001-05-09,0,0,0
2001-05-10,0,0,0
2001-05-11,0,0,0
2001-05-12,0,0,0
2001-05-13,0,0,0
2001-05-14,0,0,0
2001-05-15,0,0,0
2001-05-16,0,0,0
2001-05-17,0,0,0
2001-05-18,0,0,0
2001-05-19,0,0,0
2001-05-20,0,0,0
2001-05-21,0,0,0
2001-05-22,0,0,0
2001-05-23,0,0,0
2001-05-24,0,0,0
2001-05-25,0,0,0
2001-05-26,0,0,0
2001-05-27,0,0,0
2001-05-28,0,0,0
2001-05-29,0,0,0
2001-05-30,0,0,0
2001-05-31,0,0,0
2001-06-01,0,0,0
2001-06-02,0,0,0
2001-06-03,0,0,0
2001-06-04,0,54.185,0
2001-06-05,0,0,0.395
2001-06-06,0,43.23,64.04
2001-06-07,0,7.615,66.235
2001-06-08,0,37.465,17.4
2001-06-09,0,147.085,0
2001-06-10,0,60.875,0
2001-06-11,0,0,0
2001-06-12,0,0,0
2001-06-13,0,0,0
2001-06-14,0,0,0
2001-06-15,0,0,0
2001-06-16,0,0,0
2001-06-17,0,0,0
2001-06-18,0,50.605,0
2001-06-19,39.5,28.77,35.38
2001-06-20,0,59.485,0
2001-06-21,0,200.49,0
2001-06-22,0,200.925,0
2001-06-23,0,165.075,85.625
2001-06-24,0,234.845,0
2001-06-25,0,195.5,0
2001-06-26,23.34,157.88,79.17
2001-06-27,62.88,78.235,0
2001-06-28,99.36,135.35,0
2001-06-29,132.85,0,10.64
2001-06-30,183.38,0,74.78
2001-07-01,300,0,0
2001-07-02,251.69,0,0
2001-07-03,132.24,0,0
2001-07-04,127.97,0,45.66
2001-07-05,389.18,65.73,28.69
2001-07-06,179.96,138.655,54.83
2001-07-07,267.03,299.77,0
2001-07-08,270,113.115,109.67
2001-07-09,235,196.42,94.7
2001-07-10,259.72,396.925,109.93
2001-07-11,314.83,1699.235,117.135
2001-07-12,275.96,1377.6,160.365
2001-07-13,479.19,879.15,234.705
2001-07-14,536.84,1131.14,330.515
2001-07-15,1085.05,1250.095,435.72
2001-07-16,841.18,706.51,522.235
2001-07-17,960.8,1102.175,501.885
2001-07-18,1154.88,872.33,441.695
2001-07-19,1181.99,919.175,452.21
2001-07-20,1050.59,408.28,377.93
2001-07-21,934.72,722.34,466.74
2001-07-22,1114.37,999.69,400.22
2001-07-23,1172.31,1198.51,419.055
2001-07-24,1143.75,1208.485,434.115
2001-07-25,1091.3,728.54,357.885
2001-07-26,898,490.995,240.46
2001-07-27,606.14,302.67,196.065
2001-07-28,720.3,320.085,156.515
2001-07-29,780.75,146.34,195.575
2001-07-30,760.44,221.425,131.7
2001-07-31,651.26,56.19,684.21
2001-08-01,789.56,197.56,1161.6
2001-08-02,1433.88,735.635,1606.705
2001-08-03,1703,953.895,2020.47
2001-08-04,1617.4,681.12,1123.045
2001-08-05,2210.84,356.37,276.245
2001-08-06,1750.84,348.16,459.335
2001-08-07,1802.08,552.66,568.725
2001-08-08,2498.18,134.29,875.355
2001-08-09,3789.27,0,1020.4
2001-08-10,3466.53,0,1710.11
2001-08-11,3562.33,332.27,487.62
2001-08-12,2690.96,108.155,7.01
2001-08-13,2272.1,96.57,270.945
2001-08-14,2304.38,104.155,0
2001-08-15,1767.19,114.495,110.93
2001-08-16,1939.21,140.945,125.85
2001-08-17,1776.3,591.435,0
2001-08-18,1712.71,240.405,0
2001-08-19,1529.57,122.7,0
2001-08-20,1066.23,208.505,171.09
2001-08-21,1337.82,459.18,17.25
2001-08-22,1419.16,461.765,85.22
2001-08-23,1315.53,655.65,184.62
2001-08-24,1049.65,623.88,0
2001-08-25,855.9,573.91,0
2001-08-26,579.05,391.59,0
2001-08-27,1012.74,604.78,0
2001-08-28,944.5,138.585,0
2001-08-29,762.77,0,0
2001-08-30,775.22,0,0
2001-08-31,816.61,0,0
2001-09-01,738.24,0,0
2001-09-02,455.58,0,0
2001-09-03,226.18,0,0
2001-09-04,308.43,0,0
2001-09-05,508.64,0,0
2001-09-06,844.21,0,0
2001-09-07,1357.69,163.26,0
2001-09-08,1390.94,395.545,206.665
2001-09-09,980.66,1355.805,639.305
2001-09-10,1895.59,1733.015,1403.42
2001-09-11,2239.54,1695.44,2175.775
2001-09-12,2767.91,1737.465,2057.14
2001-09-13,3735.27,2211.83,2151.8
2001-09-14,4484.98,3944.9,3021.16
2001-09-15,5101.64,3654.25,NA
2001-09-16,5675.26,2507.705,2640.285
2001-09-17,6219.49,2025.14,2358.615
2001-09-18,6373.55,1357.15,2335.58
2001-09-19,6216.5,1323.59,2247.99
2001-09-20,6015.69,1335.745,2188.285
2001-09-21,5336.79,1347.855,1981.35
2001-09-22,5171.26,1285.14,2038.215
2001-09-23,4970.66,1070.26,1901.71
2001-09-24,4790.91,825.555,1155.58
2001-09-25,4376.52,460.99,47.03
2001-09-26,4453.92,697.97,204.195
2001-09-27,4974.52,1268.35,641.69
2001-09-28,4642.94,1125.41,1074.19
2001-09-29,4620.73,1135.925,1167.735
2001-09-30,4351.2,936.45,603.35
2001-10-01,4815.01,162.97,1.44
2001-10-02,4836.88,350.905,155.155
2001-10-03,4595.11,91.075,95.13
2001-10-04,4382.17,267.985,0
2001-10-05,3965.92,340.895,0.09
2001-10-06,3636.8,541.17,172.9
2001-10-07,3395.31,722.555,131.07
2001-10-08,3308.03,701.54,1210.075
2001-10-09,3204.68,810.335,1182.99
2001-10-10,2924.93,612.965,562.075
2001-10-11,2512.83,131.57,0
2001-10-12,2117.82,274.105,0
2001-10-13,2082.75,177.42,0
2001-10-14,2041.48,280.32,0
2001-10-15,1789.12,425.245,0
2001-10-16,1446.96,468.36,279.87
2001-10-17,1404.09,800.205,576.075
2001-10-18,1485.31,886.87,514.78
2001-10-19,1435.4,666.86,437.83
2001-10-20,1149.32,108.8,115.125
2001-10-21,1150.46,49.295,0
2001-10-22,1419.76,322.435,0
2001-10-23,1504.97,707.26,1.02
2001-10-24,1516.84,599.31,267.84
2001-10-25,1623.82,708.855,87.255
2001-10-26,1798.57,1244.07,296.24
2001-10-27,2625.18,1008.07,516.53
2001-10-28,2277.48,804.125,322.75
2001-10-29,2649.36,914.74,315.95
2001-10-30,2763.97,863.365,361.17
2001-10-31,2364.79,871.41,297.965
2001-11-01,2009.51,996.005,285.07
2001-11-02,1825.22,952.195,389.81
2001-11-03,1788.57,930.265,293.87
2001-11-04,1683.61,506.565,493.805
2001-11-05,1603.62,710.13,1001.27
2001-11-06,1586.79,666.53,648.81
2001-11-07,1317.02,269.335,406.975
2001-11-08,1269.18,547.315,0.02
2001-11-09,1343.6,377.52,4.97
2001-11-10,1506.83,436.585,160.785
2001-11-11,1394.39,284.38,71.68
2001-11-12,1310.93,NA,0.09
2001-11-13,1191.7,NA,517.975
2001-11-14,1076.23,711.275,146.885
2001-11-15,848.06,601.915,279.01
2001-11-16,703.51,470.83,431.97
2001-11-17,1001.74,234.65,274.99
2001-11-18,957.24,0,0
2001-11-19,722.4,0,0
2001-11-20,743.77,0,0
2001-11-21,895.1,0,0
2001-11-22,959.53,0,0
2001-11-23,669.5,0,0
2001-11-24,584.61,0,0
2001-11-25,576.45,0,0
2001-11-26,719.86,0,0
2001-11-27,503.33,0,0
2001-11-28,306.58,0,0
2001-11-29,771.11,0,0
2001-11-30,854.1,0,0
2001-12-01,275.49,0,0
2001-12-02,400.19,0,0
2001-12-03,588.48,0,0
2001-12-04,480.58,71.76,70.24
2001-12-05,477.11,63.405,94.66
2001-12-06,550.13,165.795,0
2001-12-07,549.12,114.985,0
2001-12-08,472.74,274.38,0
2001-12-09,514.86,164.28,0
2001-12-10,627.36,120.055,0
2001-12-11,513.32,239.48,0
2001-12-12,486.79,278.155,0.22
2001-12-13,454.09,425.14,36.43
2001-12-14,604.78,226.875,0.61
2001-12-15,526.98,94.695,0.29
2001-12-16,517.42,0,0.01
2001-12-17,508.78,0,0
2001-12-18,587.74,0,0
2001-12-19,538.46,0,0
2001-12-20,491.87,0,0
2001-12-21,471.15,63.89,0
2001-12-22,395.1,0,0
2001-12-23,383.15,0,0
2001-12-24,430.49,0,0
2001-12-25,534.5,0,3.87
2001-12-26,456.95,22.14,4.73
2001-12-27,409.69,0,0
2001-12-28,406.9,0,0
2001-12-29,405.49,0,0
2001-12-30,365.49,0,0
2001-12-31,361.67,0,0
2002-01-01,331.33,0,0
2002-01-02,401.24,0,0.005
2002-01-03,600.31,0,0
2002-01-04,410.59,0,0
2002-01-05,252.08,0,0
2002-01-06,453.55,0,0
2002-01-07,351.02,0,0
2002-01-08,373.48,0,0
2002-01-09,373.35,0,0
2002-01-10,309.44,0,0
2002-01-11,280.69,0,0
2002-01-12,266.8,0,0
2002-01-13,454.57,0,0
2002-01-14,347.07,0,0
2002-01-15,390.5,224.19,0.25
2002-01-16,406.88,342.41,412.035
2002-01-17,373.35,290.41,96.245
2002-01-18,487.54,300.715,234.475
2002-01-19,525.73,247.375,234.875
2002-01-20,424.73,283.315,243.47
2002-01-21,371.23,275.07,200.76
2002-01-22,416.78,237.215,109.13
2002-01-23,417.8,7.955,8.66
2002-01-24,395.72,0,2.525
2002-01-25,373.87,0,0.03
2002-01-26,412.71,0,0
2002-01-27,436.25,0,0
2002-01-28,371.73,0,0
2002-01-29,386.61,0,0.59
2002-01-30,418.04,0,0
2002-01-31,390.2,0,0
2002-02-01,322.23,0,0
2002-02-02,364.54,0,0
2002-02-03,292.93,0,0
2002-02-04,289.99,0,0
2002-02-05,330.9,0,0
2002-02-06,290.05,0,0
2002-02-07,307.71,0,0
2002-02-08,373.27,0,0
2002-02-09,286.51,0,0
2002-02-10,370.81,11.13,0.26
2002-02-11,383.32,580.035,584.705
2002-02-12,410.05,201.96,546.16
2002-02-13,324.04,30.965,621.1
2002-02-14,348.01,305.02,349.765
2002-02-15,360.53,82.305,0
2002-02-16,382.63,0,0
2002-02-17,315.29,0,0
2002-02-18,280.95,0,0
2002-02-19,385.13,0,0
2002-02-20,359.34,0,0.14
2002-02-21,349.77,0,0.78
2002-02-22,380.94,0,1.38
2002-02-23,474.69,0,153.615
2002-02-24,401.94,147.94,197.26
2002-02-25,390.24,141.435,0
2002-02-26,409.35,35.22,0
2002-02-27,465.6,24.315,0
2002-02-28,440.06,0,0
2002-03-01,373.12,8.315,0
2002-03-02,510.04,0,20.225
2002-03-03,399.54,0,0
2002-03-04,400.81,0,0.07
2002-03-05,351.33,0,0
2002-03-06,343.68,0,0
2002-03-07,423.9,0,0.08
2002-03-08,710.31,0,1.37
2002-03-09,467.69,0,5.45
2002-03-10,523.02,0,8.415
2002-03-11,326.92,0,6.99
2002-03-12,379.82,0,2.38
2002-03-13,445.15,0,0.42
2002-03-14,412.44,0,0
2002-03-15,383.64,0,0
2002-03-16,406.01,0,0
2002-03-17,362.32,0,0
2002-03-18,456.66,0,0
2002-03-19,356.36,0,0
2002-03-20,419.51,0,0
2002-03-21,380.69,0,0
2002-03-22,322.96,0,0
2002-03-23,401.32,0,0
2002-03-24,444.97,0,0
2002-03-25,317.51,0,0.01
2002-03-26,343.97,0,0
2002-03-27,364.46,0,0
2002-03-28,364.91,0.385,0
2002-03-29,366.05,0.13,0
2002-03-30,445.3,0,0
2002-03-31,302.66,0,0
2002-04-01,322.3,0,0
2002-04-02,376.24,0,0
2002-04-03,382.94,0,38.81
2002-04-04,399.59,0,0
2002-04-05,337.77,0,0
2002-04-06,306.2,0,0
2002-04-07,302.87,0,0
2002-04-08,297.51,0,0
2002-04-09,294.9,0,0
2002-04-10,268.11,0,0
2002-04-11,257.24,0,0
2002-04-12,360.98,0,0
2002-04-13,278.87,0,0
2002-04-14,248.24,0,0
2002-04-15,381.05,0,0
2002-04-16,413.6,0,0
2002-04-17,346.34,0,0
2002-04-18,376.75,0,0
2002-04-19,316.3,0,0
2002-04-20,374.87,0,0
2002-04-21,429.04,0,0
2002-04-22,382.17,1.77,0
2002-04-23,317.12,1.11,0
2002-04-24,222.75,0,0
2002-04-25,351.57,0,0
2002-04-26,362.39,0,0
2002-04-27,296.78,4.07,0
2002-04-28,293.81,0,0
2002-04-29,237.87,0,0
2002-04-30,324.53,0,0
2002-05-01,399.98,0,0
2002-05-02,273.5,0.025,0
2002-05-03,332.29,0,0
2002-05-04,345.71,0,0
2002-05-05,257.54,0,0
2002-05-06,270,0,0
2002-05-07,300.92,0,0
2002-05-08,294.62,21.69,0
2002-05-09,282.33,11.535,0
2002-05-10,235.61,0,0
2002-05-11,153.43,0,0
2002-05-12,234.23,0,0
2002-05-13,257.43,0,0
2002-05-14,265.71,0,0
2002-05-15,186.09,0,0
2002-05-16,258.78,0,0
2002-05-17,281.91,0,0
2002-05-18,225.65,0,0
2002-05-19,282.87,152.815,0
2002-05-20,347.7,0,0
2002-05-21,225.05,0,0
