"","date","L005_ETPI_Inches"
"94",2009-03-12,0.17
"95",2009-03-13,0.18
"96",2009-03-14,0.13
"97",2009-03-15,0.17
"98",2009-03-16,0.17
"99",2009-03-17,0.07
"100",2009-03-18,0.05
"101",2009-03-19,0.16
"102",2009-03-20,0.14
"103",2009-03-21,0.08
"104",2009-03-22,0.15
"105",2009-03-23,0.1
"106",2009-03-24,0.19
"107",2009-03-25,0.15
"108",2009-03-26,0.14
"109",2009-03-27,0.11
"110",2009-03-28,0.07
"111",2009-03-29,0.03
"112",2009-03-30,0.18
"113",2009-03-31,0.09
"114",2009-04-01,0.1
"115",2009-04-02,0.1
"116",2009-04-03,0.03
"117",2009-04-04,0.05
"118",2009-04-05,0.13
"119",2009-04-06,0.12
"120",2009-04-07,0.07
"121",2009-04-08,0.15
"122",2009-04-09,0.07
"123",2009-04-10,0.13
"124",2009-04-11,0.13
"125",2009-04-12,0.05
"126",2009-04-13,0.13
"127",2009-04-14,0.08
"128",2009-04-15,0.08
"129",2009-04-16,0.18
"130",2009-04-17,0.14
"131",2009-04-18,0.11
"132",2009-04-19,0.17
"133",2009-04-20,0.1
"134",2009-04-21,0.1
"135",2009-04-22,0.14
"136",2009-04-23,0.05
"137",2009-04-24,0.16
"138",2009-04-25,0.08
"139",2009-04-26,0.06
"140",2009-04-27,0.08
"141",2009-04-28,0.07
"142",2009-04-29,0.1
"143",2009-04-30,0.17
"144",2009-05-01,0.21
"145",2009-05-02,0.23
"146",2009-05-03,0.23
"147",2009-05-04,0.22
"148",2009-05-05,0.2
"149",2009-05-06,0.2
"150",2009-05-07,0.22
"151",2009-05-08,0.21
"152",2009-05-09,0.21
"153",2009-05-10,0.16
"154",2009-05-11,0.22
"155",2009-05-12,0.22
"156",2009-05-13,0.21
"157",2009-05-14,0.19
"158",2009-05-15,0.18
"159",2009-05-16,0.22
"160",2009-05-17,0.21
"161",2009-05-18,0.1
"162",2009-05-19,0.12
"163",2009-05-20,0.14
"164",2009-05-21,0.17
"165",2009-05-22,0.13
"166",2009-05-23,0.13
"167",2009-05-24,0.15
"168",2009-05-25,0.2
"169",2009-05-26,0.19
"170",2009-05-27,0.15
"171",2009-05-28,0.14
"172",2009-05-29,0.14
"173",2009-05-30,0.19
"174",2009-05-31,0.2
"175",2009-06-01,0.22
"176",2009-06-02,0.21
"177",2009-06-03,0.22
"178",2009-06-04,0.12
"179",2009-06-05,0.17
"180",2009-06-06,0.11
"181",2009-06-07,0.11
"182",2009-06-08,0.17
"183",2009-06-09,0.24
"184",2009-06-10,0.22
"185",2009-06-11,0.22
"186",2009-06-12,0.19
"187",2009-06-13,0.23
"188",2009-06-14,0.22
"189",2009-06-15,0.22
"190",2009-06-16,0.21
"191",2009-06-17,0.19
"192",2009-06-18,0.21
"193",2009-06-19,0.21
"194",2009-06-20,0.23
"195",2009-06-21,0.2
"196",2009-06-22,0.22
"197",2009-06-23,0.09
"198",2009-06-24,0.22
"199",2009-06-25,0.2
"200",2009-06-26,0.17
"201",2009-06-27,0.17
"202",2009-06-28,0.14
"203",2009-06-29,0.09
"204",2009-06-30,0.11
"205",2009-07-01,0.14
"206",2009-07-02,0.07
"207",2009-07-03,0.19
"208",2009-07-04,0.22
"209",2009-07-05,0.19
"210",2009-07-06,0.21
"211",2009-07-07,0.22
"212",2009-07-08,0.21
"213",2009-07-09,0.13
"214",2009-07-10,0.14
"215",2009-07-11,0.19
"216",2009-07-12,0.22
"217",2009-07-13,0.19
"218",2009-07-14,0.22
"219",2009-07-15,0.22
"220",2009-07-16,0.21
"221",2009-07-17,0.19
"222",2009-07-18,0.19
"223",2009-07-19,0.13
"224",2009-07-20,0.13
"225",2009-07-21,0.22
"226",2009-07-22,0.21
"227",2009-07-23,0.22
"228",2009-07-24,0.17
