"date","station_id","parameter","unit","value"
2023-01-11,"LZ40","WNDS","MPH",NA
2023-01-12,"L001","AIRT","Degrees Celsius",19.8
2023-01-12,"L001","BARO","mm Mercury",765.09
2023-01-12,"L001","HUMI","Percent",78.85
2023-01-12,"L001","WNDS","MPH",4.3
2023-01-12,"L005","AIRT","Degrees Celsius",19.85
2023-01-12,"L005","BARO","mm Mercury",765.12
2023-01-12,"L005","HUMI","Percent",79.59
2023-01-12,"L005","WNDS","MPH",4.93
2023-01-12,"L006","AIRT","Degrees Celsius",20.2
2023-01-12,"L006","BARO","mm Mercury",764.38
2023-01-12,"L006","HUMI","Percent",85.68
2023-01-12,"L006","RADP","MICROMOLE/m^2/s",295.33
2023-01-12,"L006","RADT","kW/m^2",0.167
2023-01-12,"L006","WNDS","MPH",5.41
2023-01-12,"LZ40","AIRT","Degrees Celsius",19.82
2023-01-12,"LZ40","BARO","mm Mercury",763.04
2023-01-12,"LZ40","HUMI","Percent",81.24
2023-01-12,"LZ40","RADT","kW/m^2",0.161
2023-01-12,"LZ40","WNDD","DEGREES CLOCKWI",124.85
2023-01-12,"LZ40","WNDS","MPH",NA
2023-01-13,"L001","AIRT","Degrees Celsius",18.11
2023-01-13,"L001","BARO","mm Mercury",759.93
2023-01-13,"L001","HUMI","Percent",76.9
2023-01-13,"L001","WNDS","MPH",17.37
2023-01-13,"L005","AIRT","Degrees Celsius",17.9
2023-01-13,"L005","BARO","mm Mercury",760.24
2023-01-13,"L005","HUMI","Percent",74.55
2023-01-13,"L005","WNDS","MPH",17.15
2023-01-13,"L006","AIRT","Degrees Celsius",18.23
2023-01-13,"L006","BARO","mm Mercury",759.43
2023-01-13,"L006","HUMI","Percent",80.35
2023-01-13,"L006","RADP","MICROMOLE/m^2/s",186.07
2023-01-13,"L006","RADT","kW/m^2",0.103
2023-01-13,"L006","WNDS","MPH",18.73
2023-01-13,"LZ40","AIRT","Degrees Celsius",17.84
2023-01-13,"LZ40","BARO","mm Mercury",758.14
2023-01-13,"LZ40","HUMI","Percent",75.76
2023-01-13,"LZ40","RADT","kW/m^2",0.086
2023-01-13,"LZ40","WNDD","DEGREES CLOCKWI",253.07
2023-01-13,"LZ40","WNDS","MPH",17.46
2023-01-14,"L001","AIRT","Degrees Celsius",9.86
2023-01-14,"L001","BARO","mm Mercury",763.72
2023-01-14,"L001","HUMI","Percent",64.3
2023-01-14,"L001","WNDS","MPH",20.36
2023-01-14,"L005","AIRT","Degrees Celsius",9.96
2023-01-14,"L005","BARO","mm Mercury",763.88
2023-01-14,"L005","HUMI","Percent",64.75
2023-01-14,"L005","WNDS","MPH",18.09
2023-01-14,"L006","AIRT","Degrees Celsius",10.7
2023-01-14,"L006","BARO","mm Mercury",762.97
2023-01-14,"L006","HUMI","Percent",64.21
2023-01-14,"L006","RADP","MICROMOLE/m^2/s",313.81
2023-01-14,"L006","RADT","kW/m^2",0.184
2023-01-14,"L006","WNDS","MPH",24.05
2023-01-14,"LZ40","AIRT","Degrees Celsius",10.13
2023-01-14,"LZ40","BARO","mm Mercury",761.58
2023-01-14,"LZ40","HUMI","Percent",62.5
2023-01-14,"LZ40","RADT","kW/m^2",NA
2023-01-14,"LZ40","WNDD","DEGREES CLOCKWI",321.29
2023-01-14,"LZ40","WNDS","MPH",21.89
2023-01-15,"L001","AIRT","Degrees Celsius",10.5
2023-01-15,"L001","BARO","mm Mercury",766.2
2023-01-15,"L001","HUMI","Percent",60.48
2023-01-15,"L001","WNDS","MPH",9.22
2023-01-15,"L005","AIRT","Degrees Celsius",10.66
2023-01-15,"L005","BARO","mm Mercury",766.18
2023-01-15,"L005","HUMI","Percent",58.47
2023-01-15,"L005","WNDS","MPH",7.48
2023-01-15,"L006","AIRT","Degrees Celsius",11
2023-01-15,"L006","BARO","mm Mercury",765.42
2023-01-15,"L006","HUMI","Percent",54.52
2023-01-15,"L006","RADP","MICROMOLE/m^2/s",317.89
2023-01-15,"L006","RADT","kW/m^2",0.188
2023-01-15,"L006","WNDS","MPH",11.19
2023-01-15,"LZ40","AIRT","Degrees Celsius",10.72
2023-01-15,"LZ40","BARO","mm Mercury",763.98
2023-01-15,"LZ40","HUMI","Percent",53.27
2023-01-15,"LZ40","RADT","kW/m^2",0.178
2023-01-15,"LZ40","WNDD","DEGREES CLOCKWI",212.86
2023-01-15,"LZ40","WNDS","MPH",NA
2023-01-16,"L001","AIRT","Degrees Celsius",14.15
2023-01-16,"L001","BARO","mm Mercury",764.94
2023-01-16,"L001","HUMI","Percent",59.25
