"","date","Days","S4_PHOSPHATE, TOTAL AS P_mg/L","S65E_PHOSPHATE, TOTAL AS P_mg/L","S84_PHOSPHATE, TOTAL AS P_mg/L","S71_PHOSPHATE, TOTAL AS P_mg/L","S72_PHOSPHATE, TOTAL AS P_mg/L","S191_PHOSPHATE, TOTAL AS P_mg/L","S127_PHOSPHATE, TOTAL AS P_mg/L","S133_PHOSPHATE, TOTAL AS P_mg/L"
"1476",1991-05-19,6614,NA,0.079,NA,NA,NA,NA,NA,NA
"1477",1991-05-20,6615,NA,0.051,NA,NA,NA,0.388,NA,NA
"1478",1991-05-21,6616,0.053,NA,NA,NA,NA,0.374,NA,NA
"1479",1991-05-22,6617,NA,NA,0.04,0.105,0.12,0.383,0.104,0.101
"1480",1991-05-23,6618,NA,NA,0.036,NA,NA,0.374,NA,NA
"1481",1991-05-25,6620,NA,NA,NA,NA,NA,0.388,NA,NA
"1482",1991-05-27,6622,NA,NA,NA,NA,NA,0.38,NA,NA
"1483",1991-05-28,6623,NA,0.115,NA,NA,NA,0.509,NA,NA
"1484",1991-05-29,6624,NA,0.151,NA,NA,NA,NA,NA,NA
"1485",1991-05-30,6625,NA,0.128,NA,NA,NA,0.413,NA,NA
"1486",1991-05-31,6626,NA,0.173,NA,NA,NA,NA,NA,NA
"1487",1991-06-01,6627,NA,0.144,NA,NA,NA,0.4115,NA,NA
"1488",1991-06-02,6628,NA,0.116,NA,NA,NA,NA,NA,NA
"1489",1991-06-03,6629,NA,0.115666666666667,NA,NA,NA,0.583,NA,NA
"1490",1991-06-04,6630,NA,NA,0.035,0.192,NA,0.63,NA,NA
"1491",1991-06-05,6631,NA,0.117,NA,NA,NA,0.664,NA,NA
"1492",1991-06-06,6632,NA,NA,0.025,NA,NA,NA,NA,NA
"1493",1991-06-07,6633,NA,0.126,NA,NA,NA,0.683,NA,NA
"1494",1991-06-09,6635,NA,0.125,NA,NA,NA,0.685,NA,NA
"1495",1991-06-10,6636,NA,0.098,0.021,NA,NA,0.607,NA,NA
"1496",1991-06-17,6643,NA,0.082,0.026,0.081,0.105,0.6195,NA,0.138
"1497",1991-06-18,6644,0.216,0.086,NA,NA,NA,NA,0.063,NA
"1498",1991-06-19,6645,NA,NA,NA,NA,NA,0.648,NA,NA
"1499",1991-06-21,6647,NA,NA,NA,NA,NA,0.629,NA,NA
"1500",1991-06-23,6649,NA,NA,NA,NA,NA,0.605,NA,NA
"1501",1991-06-24,6650,NA,0.095,0.026,NA,NA,0.615,NA,NA
"1502",1991-06-26,6652,NA,0.131,NA,NA,NA,0.62,NA,NA
"1503",1991-06-28,6654,NA,0.148,NA,NA,NA,0.634,NA,NA
"1504",1991-06-30,6656,NA,0.143,NA,NA,NA,0.596,NA,NA
"1505",1991-07-01,6657,NA,0.0865,0.021,NA,NA,0.56,NA,NA
"1506",1991-07-02,6658,NA,NA,NA,0.079,NA,0.517,NA,NA
"1507",1991-07-08,6664,NA,0.062,0.026,NA,NA,0.601,NA,NA
"1508",1991-07-10,6666,NA,0.115,NA,NA,NA,0.602,NA,NA
"1509",1991-07-12,6668,NA,0.215,NA,NA,NA,0.583,NA,NA
"1510",1991-07-14,6670,NA,0.158,NA,NA,NA,0.552,NA,NA
"1511",1991-07-15,6671,NA,0.0665,0.044,NA,NA,NA,NA,NA
"1512",1991-07-16,6672,NA,NA,NA,0.091,NA,0.493,0.299,NA
"1513",1991-07-22,6678,NA,0.066,0.043,NA,NA,NA,NA,NA
"1514",1991-07-23,6679,NA,NA,NA,NA,NA,0.5765,NA,NA
"1515",1991-07-24,6680,NA,0.129,NA,NA,NA,NA,NA,NA
"1516",1991-07-25,6681,NA,NA,NA,NA,NA,0.579,NA,NA
"1517",1991-07-26,6682,NA,0.127,NA,NA,NA,NA,NA,NA
"1518",1991-07-27,6683,NA,NA,NA,NA,NA,0.625,NA,NA
"1519",1991-07-28,6684,NA,0.093,NA,NA,NA,NA,NA,NA
"1520",1991-07-29,6685,NA,0.068,0.0275,NA,0.138,0.603,0.257,0.352
"1521",1991-07-30,6686,0.124,NA,NA,0.398,NA,0.628,NA,NA
"1522",1991-07-31,6687,NA,0.127,NA,NA,NA,0.572,NA,NA
"1523",1991-08-02,6689,NA,0.112,NA,NA,NA,0.567,NA,NA
"1524",1991-08-04,6691,NA,0.08,NA,NA,NA,0.531,NA,NA
"1525",1991-08-05,6692,NA,0.09,0.047,NA,NA,0.648,NA,NA
"1526",1991-08-07,6694,NA,0.104,NA,NA,NA,0.526,NA,NA
"1527",1991-08-09,6696,NA,0.076,NA,NA,NA,0.384,NA,NA
"1528",1991-08-11,6698,NA,0.091,NA,NA,NA,0.588,NA,NA
"1529",1991-08-12,6699,NA,0.0965,0.1,NA,NA,0.623,NA,NA
"1530",1991-08-13,6700,NA,NA,0.07,0.16,NA,0.647,NA,NA
"1531",1991-08-16,6703,NA,0.16,NA,NA,NA,NA,NA,NA
"1532",1991-08-17,6704,NA,0.16,NA,NA,NA,NA,NA,NA
"1533",1991-08-18,6705,NA,0.145,NA,NA,NA,NA,NA,NA
"1534",1991-08-19,6706,NA,0.1475,0.052,NA,NA,NA,NA,NA
"1535",1991-08-20,6707,NA,-0.004,NA,NA,NA,0.871,NA,NA
"1536",1991-08-22,6709,NA,0.132,NA,NA,NA,0.886,NA,NA
"1537",1991-08-24,6711,NA,0.126,NA,NA,NA,0.767,NA,NA
"1538",1991-08-26,6713,NA,0.1385,0.085,NA,NA,0.532,NA,NA
"1539",1991-08-27,6714,NA,NA,NA,NA,NA,0.463,NA,NA
"1540",1991-08-28,6715,0.131,0.154,0.085,0.246,NA,0.507,NA,0.347
"1541",1991-08-29,6716,NA,NA,NA,NA,0.202,NA,0.457,NA
"1542",1991-08-30,6717,NA,0.134,NA,NA,NA,0.571,NA,NA
"1543",1991-09-01,6719,NA,0.134,NA,NA,NA,0.539,NA,NA
"1544",1991-09-03,6721,NA,0.174,0.139,NA,NA,0.574,NA,NA
"1545",1991-09-05,6723,NA,NA,NA,NA,NA,0.536,NA,NA
"1546",1991-09-07,6725,NA,NA,NA,NA,NA,0.542,NA,NA
"1547",1991-09-09,6727,NA,0.1275,0.158,NA,NA,0.618,NA,NA
"1548",1991-09-10,6728,NA,NA,NA,0.114,NA,0.555333333333333,0.38,NA
"1549",1991-09-11,6729,NA,0.129,NA,NA,NA,NA,NA,NA
"1550",1991-09-12,6730,NA,NA,NA,NA,NA,0.552,NA,NA
"1551",1991-09-13,6731,NA,0.123,NA,NA,NA,NA,NA,NA
"1552",1991-09-14,6732,NA,NA,NA,NA,NA,0.531,NA,NA
"1553",1991-09-15,6733,NA,0.174,NA,NA,NA,NA,NA,NA
"1554",1991-09-16,6734,NA,NA,0.088,NA,NA,0.513,NA,NA
"1555",1991-09-17,6735,NA,0.158,NA,NA,NA,NA,NA,NA
"1556",1991-09-18,6736,NA,0.041,NA,NA,NA,0.498,NA,NA
"1557",1991-09-20,6738,NA,0.148,NA,NA,NA,0.504,NA,NA
"1558",1991-09-22,6740,NA,0.126,NA,NA,NA,0.53,NA,NA
"1559",1991-09-23,6741,NA,0.1335,0.092,NA,NA,NA,NA,NA
"1560",1991-09-24,6742,0.177,NA,NA,0.137,NA,0.587,NA,NA
"1561",1991-09-25,6743,NA,0.277,0.087,NA,NA,0.5155,NA,0.28
"1562",1991-09-27,6745,NA,0.281,NA,NA,NA,0.571,NA,NA
"1563",1991-09-29,6747,NA,0.232,NA,NA,NA,0.489,NA,NA
"1564",1991-09-30,6748,NA,0.255,0.166,NA,0.17,0.577,0.169,NA
"1565",1991-10-01,6749,NA,0.353,NA,NA,NA,0.488,NA,NA
"1566",1991-10-03,6751,NA,0.219,NA,NA,NA,0.669,NA,NA
"1567",1991-10-05,6753,NA,0.169,NA,NA,NA,0.593,NA,NA
"1568",1991-10-07,6755,NA,0.189,0.047,NA,NA,0.512,NA,NA
"1569",1991-10-08,6756,NA,NA,NA,0.123,0.195,0.6135,NA,0.286
"1570",1991-10-09,6757,NA,0.112,NA,NA,NA,NA,NA,NA
"1571",1991-10-10,6758,NA,NA,NA,NA,NA,0.6,NA,NA
"1572",1991-10-11,6759,NA,0.09,NA,NA,NA,NA,NA,NA
"1573",1991-10-12,6760,NA,NA,NA,NA,NA,0.6,NA,NA
"1574",1991-10-13,6761,NA,0.099,NA,NA,NA,NA,NA,NA
"1575",1991-10-14,6762,NA,0.092,0.043,NA,NA,0.644,NA,NA
"1576",1991-10-16,6764,NA,0.115,NA,NA,NA,0.449,NA,NA
"1577",1991-10-18,6766,NA,0.103,NA,NA,NA,0.444,NA,NA
"1578",1991-10-20,6768,NA,0.092,NA,NA,NA,0.424,NA,NA
"1579",1991-10-21,6769,NA,0.0545,0.035,NA,NA,0.557,NA,NA
"1580",1991-10-22,6770,0.073,0.058,NA,0.116,NA,NA,NA,NA
"1581",1991-10-23,6771,NA,NA,0.044,NA,NA,0.392,0.2,NA
"1582",1991-10-24,6772,NA,0.057,NA,NA,NA,NA,NA,NA
"1583",1991-10-25,6773,NA,NA,NA,NA,NA,0.404,NA,NA
"1584",1991-10-26,6774,NA,0.059,NA,NA,NA,NA,NA,NA
"1585",1991-10-27,6775,NA,NA,NA,NA,NA,0.39,NA,NA
"1586",1991-10-28,6776,NA,0.063,0.038,NA,NA,0.411,NA,NA
"1587",1991-10-29,6777,NA,0.085,NA,NA,NA,0.357,NA,NA
"1588",1991-11-01,6780,NA,0.08,NA,NA,NA,0.586,NA,NA
"1589",1991-11-03,6782,NA,0.08,NA,NA,NA,0.403,NA,NA
"1590",1991-11-04,6783,NA,0.057,0.041,NA,NA,0.346,NA,NA
"1591",1991-11-05,6784,0.064,NA,NA,0.08,NA,0.403,NA,NA
"1592",1991-11-06,6785,NA,0.056,NA,NA,NA,NA,0.193,0.115
"1593",1991-11-07,6786,NA,NA,NA,NA,NA,0.363,NA,NA
"1594",1991-11-08,6787,NA,0.081,NA,NA,NA,NA,NA,NA
"1595",1991-11-09,6788,NA,NA,NA,NA,NA,0.446,NA,NA
"1596",1991-11-10,6789,NA,0.121,NA,NA,NA,NA,NA,NA
"1597",1991-11-12,6791,NA,NA,NA,NA,NA,0.398,NA,NA
"1598",1991-11-13,6792,NA,NA,0.038,NA,NA,NA,NA,NA
"1599",1991-11-14,6793,NA,NA,NA,NA,NA,0.412,NA,NA
"1600",1991-11-16,6795,NA,NA,NA,NA,NA,0.343,NA,NA
"1601",1991-11-18,6797,NA,0.1135,0.028,0.076,0.073,0.343333333333333,NA,NA
"1602",1991-11-19,6798,0.067,NA,NA,NA,NA,NA,NA,NA
"1603",1991-11-20,6799,NA,0.097,0.034,NA,NA,0.362,0.166,0.151
"1604",1991-11-22,6801,NA,0.053,NA,NA,NA,0.27,NA,NA
"1605",1991-11-24,6803,NA,0.066,NA,NA,NA,0.327,NA,NA
"1606",1991-11-25,6804,NA,0.062,0.028,NA,NA,0.2885,NA,NA
"1607",1991-12-02,6811,NA,0.061,0.031,NA,NA,0.2735,NA,NA
"1608",1991-12-04,6813,NA,0.188,NA,0.06,NA,0.338,NA,0.122
"1609",1991-12-06,6815,NA,0.087,NA,NA,NA,0.381,NA,NA
"1610",1991-12-08,6817,NA,0.169,NA,NA,NA,0.352,NA,NA
"1611",1991-12-09,6818,NA,0.053,0.028,NA,NA,0.275,NA,NA
"1612",1991-12-11,6820,NA,0.07,NA,NA,NA,0.185,NA,NA
"1613",1991-12-13,6822,NA,0.043,NA,NA,NA,0.194,NA,NA
"1614",1991-12-15,6824,NA,0.037,NA,NA,NA,0.197,NA,NA
"1615",1991-12-16,6825,NA,0.0575,0.028,NA,NA,0.2485,NA,NA
"1616",1991-12-17,6826,0.057,NA,NA,0.051,NA,0.272,NA,0.148
"1617",1991-12-18,6827,NA,0.065,NA,NA,NA,NA,NA,NA
"1618",1991-12-19,6828,NA,NA,NA,NA,NA,0.23,NA,NA
"1619",1991-12-20,6829,NA,0.066,NA,NA,NA,NA,NA,NA
"1620",1991-12-21,6830,NA,NA,NA,NA,NA,0.228,NA,NA
"1621",1991-12-22,6831,NA,0.057,NA,NA,NA,NA,NA,NA
"1622",1991-12-23,6832,NA,0.054,0.031,NA,NA,0.274,NA,NA
"1623",1991-12-25,6834,NA,0.021,NA,NA,NA,0.256,NA,NA
"1624",1991-12-27,6836,NA,0.024,NA,NA,NA,0.217,NA,NA
"1625",1991-12-29,6838,NA,0.027,NA,NA,NA,0.215,NA,NA
"1626",1991-12-30,6839,NA,0.0525,-0.004,NA,NA,0.2405,NA,NA
"1627",1991-12-31,6840,NA,NA,0.026,0.053,NA,0.237,NA,NA
"1628",1992-01-01,6841,NA,0.082,NA,NA,NA,0.206,NA,NA
"1629",1992-01-03,6843,NA,0.049,NA,NA,NA,0.202,NA,NA
"1630",1992-01-05,6845,NA,0.052,NA,NA,NA,0.205,NA,NA
"1631",1992-01-06,6846,NA,0.058,0.028,NA,NA,0.2575,NA,NA
"1632",1992-01-08,6848,NA,0.06,NA,NA,NA,0.222,NA,NA
"1633",1992-01-10,6850,NA,0.047,NA,NA,NA,0.175,NA,NA
"1634",1992-01-12,6852,NA,0.047,NA,NA,NA,0.221,NA,NA
"1635",1992-01-13,6853,NA,0.123,0.018,NA,NA,0.2505,NA,NA
"1636",1992-01-14,6854,NA,NA,NA,0.073,NA,0.2255,NA,0.085
"1637",1992-01-16,6856,NA,NA,NA,NA,NA,0.217,NA,NA
"1638",1992-01-18,6858,NA,NA,NA,NA,NA,0.207,NA,NA
"1639",1992-01-20,6860,NA,NA,NA,NA,NA,0.213,NA,NA
"1640",1992-01-21,6861,NA,0.057,0.03,NA,NA,0.232,NA,NA
"1641",1992-01-22,6862,NA,NA,NA,NA,NA,0.228,NA,NA
"1642",1992-01-23,6863,NA,0.079,NA,NA,NA,NA,NA,NA
"1643",1992-01-24,6864,NA,NA,NA,NA,NA,0.255,NA,NA
"1644",1992-01-25,6865,NA,0.076,NA,NA,NA,NA,NA,NA
"1645",1992-01-26,6866,NA,NA,NA,NA,NA,0.235,NA,NA
"1646",1992-01-27,6867,NA,0.0543333333333333,0.023,NA,NA,0.317,NA,NA
"1647",1992-01-28,6868,0.049,NA,NA,NA,NA,0.339,NA,NA
"1648",1992-01-29,6869,NA,0.055,0.024,0.078,0.056,0.232,0.157,NA
"1649",1992-01-31,6871,NA,0.041,NA,NA,NA,0.222,NA,NA
"1650",1992-02-02,6873,NA,0.057,NA,NA,NA,0.208,NA,NA
"1651",1992-02-03,6874,NA,0.047,0.027,NA,NA,NA,NA,NA
"1652",1992-02-04,6875,NA,NA,NA,NA,NA,0.25,NA,NA
"1653",1992-02-05,6876,NA,0.037,NA,NA,NA,NA,NA,NA
"1654",1992-02-06,6877,NA,NA,NA,NA,NA,0.2,NA,NA
"1655",1992-02-07,6878,NA,0.041,NA,NA,NA,NA,NA,NA
"1656",1992-02-08,6879,NA,NA,NA,NA,NA,0.197,NA,NA
"1657",1992-02-09,6880,NA,0.043,NA,NA,NA,NA,NA,NA
"1658",1992-02-10,6881,NA,0.046,0.025,0.059,NA,0.2125,0.102,0.115
"1659",1992-02-11,6882,NA,0.047,NA,NA,NA,0.217,NA,NA
"1660",1992-02-12,6883,NA,0.04,NA,NA,NA,NA,NA,NA
"1661",1992-02-13,6884,NA,NA,NA,NA,NA,0.182,NA,NA
"1662",1992-02-14,6885,NA,0.049,NA,NA,NA,NA,NA,NA
"1663",1992-02-15,6886,NA,NA,NA,NA,NA,0.186,NA,NA
"1664",1992-02-16,6887,NA,0.035,NA,NA,NA,NA,NA,NA
"1665",1992-02-17,6888,NA,NA,NA,NA,NA,0.187,NA,NA
"1666",1992-02-19,6890,NA,0.042,0.019,NA,NA,0.2,NA,NA
"1667",1992-02-20,6891,NA,0.055,NA,NA,NA,0.166,NA,NA
"1668",1992-02-22,6893,NA,0.053,NA,NA,NA,0.198,NA,NA
"1669",1992-02-24,6895,NA,0.043,0.023,NA,NA,0.2215,NA,NA
"1670",1992-02-25,6896,0.128,NA,NA,NA,NA,NA,NA,NA
"1671",1992-02-26,6897,NA,0.055,0.03,0.063,0.075,0.16,0.133,NA
"1672",1992-02-27,6898,NA,0.049,NA,NA,NA,0.2,NA,0.16
"1673",1992-02-28,6899,NA,0.067,NA,NA,NA,0.165,NA,NA
"1674",1992-03-01,6901,NA,0.058,NA,NA,NA,0.162,NA,NA
"1675",1992-03-02,6902,NA,0.037,0.024,NA,NA,NA,NA,NA
"1676",1992-03-03,6903,NA,0.068,NA,NA,NA,0.174,NA,NA
"1677",1992-03-06,6906,NA,0.053,NA,NA,NA,NA,NA,NA
"1678",1992-03-07,6907,NA,0.049,NA,NA,NA,NA,NA,NA
"1679",1992-03-09,6909,NA,0.035,0.029,0.289,NA,0.215,0.08,0.158
"1680",1992-03-11,6911,NA,0.111,NA,NA,NA,0.3775,NA,NA
"1681",1992-03-13,6913,NA,0.037,NA,NA,NA,0.304,NA,NA
"1682",1992-03-15,6915,NA,0.039,NA,NA,NA,0.193,NA,NA
"1683",1992-03-16,6916,NA,0.041,0.027,NA,NA,0.191,NA,NA
"1684",1992-03-18,6918,NA,0.037,NA,NA,NA,0.152,NA,NA
"1685",1992-03-20,6920,NA,0.038,NA,NA,NA,0.133,NA,NA
"1686",1992-03-22,6922,NA,0.042,NA,NA,NA,0.137,NA,NA
"1687",1992-03-23,6923,0.143,0.043,0.025,NA,NA,0.184,NA,NA
"1688",1992-03-24,6924,NA,NA,0.025,0.291,0.064,NA,NA,NA
"1689",1992-03-25,6925,NA,0.033,NA,NA,NA,0.168,NA,0.151
"1690",1992-03-26,6926,NA,0.044,NA,NA,NA,NA,NA,NA
"1691",1992-03-27,6927,NA,0.045,NA,NA,NA,0.135,NA,NA
"1692",1992-03-29,6929,NA,0.043,NA,NA,NA,0.219,NA,NA
"1693",1992-03-30,6930,NA,0.035,0.036,NA,NA,0.195,NA,NA
"1694",1992-04-01,6932,NA,0.039,NA,NA,NA,0.144,NA,NA
"1695",1992-04-03,6934,NA,0.067,NA,NA,NA,0.115,NA,NA
"1696",1992-04-05,6936,NA,0.057,NA,NA,NA,0.133,NA,NA
"1697",1992-04-06,6937,NA,0.051,0.025,0.18,NA,0.1415,NA,NA
"1698",1992-04-07,6938,NA,0.037,NA,NA,NA,NA,NA,NA
"1699",1992-04-08,6939,NA,0.14,NA,NA,NA,NA,NA,NA
"1700",1992-04-10,6941,NA,0.141,NA,NA,NA,NA,NA,NA
"1701",1992-04-12,6943,NA,0.157,NA,NA,NA,NA,NA,NA
"1702",1992-04-13,6944,NA,0.038,0.026,NA,NA,NA,NA,NA
"1703",1992-04-14,6945,NA,NA,NA,NA,NA,0.2125,NA,NA
"1704",1992-04-15,6946,NA,0.06,NA,NA,NA,0.145,NA,NA
"1705",1992-04-17,6948,NA,0.052,NA,NA,NA,0.196,NA,NA
"1706",1992-04-19,6950,NA,0.055,NA,NA,NA,0.37,NA,NA
"1707",1992-04-20,6951,NA,0.056,0.023,NA,NA,0.757,NA,NA
"1708",1992-04-21,6952,NA,0.039,0.029,NA,0.051,0.121,0.061,0.102
"1709",1992-04-22,6953,NA,0.059,NA,0.108,NA,0.208,NA,NA
"1710",1992-04-23,6954,0.085,NA,NA,NA,NA,NA,NA,NA
"1711",1992-04-24,6955,NA,0.054,NA,NA,NA,0.205,NA,NA
"1712",1992-04-26,6957,NA,0.055,NA,NA,NA,0.124,NA,NA
"1713",1992-04-27,6958,NA,0.035,0.022,NA,NA,0.129,NA,NA
"1714",1992-04-29,6960,NA,0.084,NA,NA,NA,NA,NA,NA
"1715",1992-05-01,6962,NA,0.065,NA,NA,NA,NA,NA,NA
"1716",1992-05-03,6964,NA,0.071,NA,NA,NA,NA,NA,NA
"1717",1992-05-04,6965,NA,0.035,0.019,0.063,NA,0.1055,NA,NA
"1718",1992-05-05,6966,NA,0.043,NA,NA,NA,NA,NA,NA
"1719",1992-05-06,6967,NA,0.073,NA,NA,NA,NA,NA,NA
"1720",1992-05-08,6969,NA,0.061,NA,NA,NA,NA,NA,NA
"1721",1992-05-10,6971,NA,0.091,NA,NA,NA,NA,NA,NA
"1722",1992-05-11,6972,NA,0.046,0.026,NA,NA,0.107,NA,NA
"1723",1992-05-16,6977,NA,NA,NA,NA,NA,0.161,NA,NA
"1724",1992-05-17,6978,NA,NA,NA,NA,NA,0.138,NA,NA
"1725",1992-05-18,6979,NA,0.047,0.021,NA,NA,0.0915,NA,0.097
"1726",1992-05-19,6980,NA,0.04,NA,0.087,0.092,0.0925,0.061,NA
"1727",1992-05-20,6981,NA,0.066,NA,NA,NA,0.378,NA,NA
"1728",1992-05-21,6982,0.074,NA,NA,NA,NA,0.163,NA,NA
"1729",1992-05-22,6983,NA,0.069,NA,NA,NA,NA,NA,NA
"1730",1992-05-24,6985,NA,0.089,NA,NA,NA,NA,NA,NA
"1731",1992-05-26,6987,NA,0.043,-0.004,NA,NA,0.058,NA,NA
"1732",1992-05-28,6989,NA,0.064,NA,NA,NA,NA,NA,NA
"1733",1992-05-30,6991,NA,0.05,NA,NA,NA,NA,NA,NA
"1734",1992-06-01,6993,NA,0.1545,-0.004,0.096,NA,0.0795,NA,NA
"1735",1992-06-02,6994,NA,0.137,NA,NA,NA,0.462,NA,NA
"1736",1992-06-03,6995,NA,0.05,NA,NA,NA,0.179,NA,NA
"1737",1992-06-04,6996,NA,NA,NA,NA,NA,0.142,NA,NA
"1738",1992-06-05,6997,NA,0.06,NA,NA,NA,NA,NA,NA
"1739",1992-06-07,6999,NA,0.043,NA,NA,NA,NA,NA,NA
"1740",1992-06-08,7000,NA,0.028,0.017,NA,NA,0.081,NA,NA
"1741",1992-06-10,7002,NA,0.047,NA,NA,NA,NA,NA,NA
"1742",1992-06-12,7004,NA,0.046,NA,NA,NA,NA,NA,NA
"1743",1992-06-14,7006,NA,0.044,NA,NA,NA,NA,NA,NA
"1744",1992-06-15,7007,0.173,0.041,0.029,0.123,NA,0.0855,NA,0.075
"1745",1992-06-16,7008,NA,0.041,NA,NA,NA,NA,NA,NA
"1746",1992-06-17,7009,NA,0.05,NA,NA,NA,NA,NA,NA
"1747",1992-06-18,7010,NA,NA,NA,NA,NA,0.119,NA,NA
"1748",1992-06-19,7011,NA,0.063,NA,NA,NA,0.133,NA,NA
"1749",1992-06-21,7013,NA,0.062,NA,NA,NA,NA,NA,NA
"1750",1992-06-22,7014,NA,0.055,0.041,NA,NA,0.175,NA,NA
"1751",1992-06-24,7016,NA,0.076,NA,NA,NA,0.217,NA,NA
"1752",1992-06-26,7018,NA,0.076,NA,NA,NA,0.385,NA,NA
"1753",1992-06-28,7020,NA,0.083,NA,NA,NA,0.649,NA,NA
"1754",1992-06-29,7021,0.263,0.136,0.098,0.439,NA,0.858,NA,NA
"1755",1992-06-30,7022,NA,0.103,NA,NA,NA,0.899,NA,NA
"1756",1992-07-01,7023,NA,0.15,0.173,NA,0.398,0.914,0.242,0.472
"1757",1992-07-02,7024,NA,0.167,NA,NA,NA,0.967,NA,NA
"1758",1992-07-03,7025,NA,0.185,NA,NA,NA,NA,NA,NA
"1759",1992-07-04,7026,NA,0.258,NA,NA,NA,NA,NA,NA
"1760",1992-07-05,7027,NA,0.207,NA,NA,NA,NA,NA,NA
"1761",1992-07-06,7028,NA,0.2665,0.077,NA,NA,1.349,NA,NA
"1762",1992-07-08,7030,NA,0.167,NA,NA,NA,NA,NA,NA
"1763",1992-07-10,7032,NA,0.227,NA,NA,NA,NA,NA,NA
"1764",1992-07-13,7035,NA,0.348,0.082,0.135,0.218,1.1615,0.675,0.6
"1765",1992-07-14,7036,NA,0.209,NA,NA,NA,NA,NA,NA
"1766",1992-07-15,7037,NA,0.269,NA,NA,NA,1.421,NA,NA
"1767",1992-07-17,7039,NA,0.209,NA,NA,NA,0.853,NA,NA
"1768",1992-07-19,7041,NA,0.18,NA,NA,NA,0.713,NA,NA
"1769",1992-07-21,7043,NA,0.177,0.052,NA,NA,0.862,NA,NA
"1770",1992-07-22,7044,NA,0.158,NA,NA,NA,0.744,NA,NA
"1771",1992-07-24,7046,NA,0.155,NA,NA,NA,0.818,NA,NA
"1772",1992-07-26,7048,NA,0.142,NA,NA,NA,0.719,NA,NA
"1773",1992-07-27,7049,NA,0.159,0.053,NA,NA,0.8665,NA,NA
"1774",1992-07-28,7050,0.148,0.123,NA,NA,NA,NA,NA,NA
"1775",1992-07-29,7051,NA,0.139,NA,0.12,NA,0.787,NA,NA
"1776",1992-07-31,7053,NA,0.106,NA,NA,NA,0.756,NA,NA
"1777",1992-08-02,7055,NA,0.112,NA,NA,NA,0.574,NA,NA
"1778",1992-08-03,7056,NA,0.148,0.047,NA,NA,0.672,NA,NA
"1779",1992-08-05,7058,NA,NA,NA,NA,NA,1.086,NA,NA
"1780",1992-08-07,7060,NA,NA,NA,NA,NA,0.582,NA,NA
"1781",1992-08-09,7062,NA,NA,NA,NA,NA,0.661,NA,NA
"1782",1992-08-10,7063,NA,NA,NA,0.32,NA,0.469,0.526,NA
"1783",1992-08-11,7064,NA,0.136,0.042,NA,NA,0.441,NA,NA
"1784",1992-08-13,7066,NA,0.133,NA,NA,NA,0.74,NA,NA
"1785",1992-08-15,7068,NA,0.116,NA,NA,NA,0.666,NA,NA
"1786",1992-08-17,7070,NA,0.112,0.041,NA,NA,0.588,NA,NA
"1787",1992-08-19,7072,NA,0.114,NA,NA,NA,0.543,NA,NA
"1788",1992-08-21,7074,NA,0.102,NA,NA,NA,0.565,NA,NA
"1789",1992-08-23,7076,NA,0.088,NA,NA,NA,0.659,NA,NA
"1790",1992-08-25,7078,NA,0.102,0.076,NA,NA,0.695,NA,NA
"1791",1992-08-26,7079,0.212,0.066,0.096,NA,0.209,NA,NA,NA
"1792",1992-08-27,7080,NA,0.064,NA,NA,NA,0.903,NA,NA
"1793",1992-08-29,7082,NA,0.12,NA,NA,NA,0.799,NA,NA
"1794",1992-08-31,7084,NA,0.0685,0.084,NA,NA,0.893666666666667,0.274,0.235
"1795",1992-09-02,7086,NA,0.092,NA,NA,NA,0.668,NA,NA
"1796",1992-09-04,7088,NA,0.082,NA,NA,NA,0.685,NA,NA
"1797",1992-09-06,7090,NA,0.075,NA,NA,NA,0.645,NA,NA
"1798",1992-09-08,7092,NA,0.065,0.061,NA,NA,0.83,NA,NA
"1799",1992-09-09,7093,NA,NA,NA,0.105,NA,0.803,NA,NA
"1800",1992-09-10,7094,NA,0.0495,NA,NA,NA,0.811,NA,NA
"1801",1992-09-12,7096,NA,0.1,NA,NA,NA,0.848,NA,NA
"1802",1992-09-14,7098,NA,0.077,NA,NA,NA,0.631,NA,NA
"1803",1992-09-15,7099,NA,0.106,0.074,NA,NA,0.609,NA,NA
"1804",1992-09-17,7101,NA,0.132,NA,NA,NA,0.616,NA,NA
"1805",1992-09-19,7103,NA,0.119,NA,NA,NA,0.589,NA,NA
"1806",1992-09-21,7105,0.219,0.095,0.087,NA,NA,0.638666666666667,NA,NA
"1807",1992-09-22,7106,NA,0.097,0.067,NA,0.139,0.609,0.231,NA
"1808",1992-09-23,7107,NA,0.131,NA,0.13,NA,0.567,NA,0.158
"1809",1992-09-25,7109,NA,0.104,NA,NA,NA,2.495,NA,NA
"1810",1992-09-27,7111,NA,0.115,NA,NA,NA,0.788,NA,NA
"1811",1992-09-28,7112,NA,0.098,0.062,NA,NA,0.625,NA,NA
"1812",1992-09-30,7114,NA,NA,NA,NA,NA,0.623,NA,NA
"1813",1992-10-02,7116,NA,NA,NA,NA,NA,0.587,NA,NA
"1814",1992-10-04,7118,NA,NA,NA,NA,NA,0.577,NA,NA
"1815",1992-10-05,7119,NA,NA,NA,0.141666666666667,NA,0.556,NA,NA
"1816",1992-10-06,7120,NA,0.130714285714286,0.056,NA,NA,0.6005,NA,NA
