"Date","S191_AMMONIA_N_Ld_mg","S191_S_FLOW_cfd"
"1983-12-20",46240277.823936,462402.77823936
"1984-01-04",103490145.605952,344967.15201984
"1984-01-31",20673563.365728,159027.4105056
"1984-02-14",20037453.7237056,222638.37470784
"1984-02-29",455454503.688038,3503496.18221568
"1984-07-31",15560220.4740864,778011.02370432
"1984-08-13",28355810.5809216,149241.10832064
"1984-09-25",56124443.0307456,181046.59042176
"1984-10-09",27890961.227136,146794.5327744
"1984-12-04",45579702.4264512,168813.71269056
"1985-01-15",14532658.7446656,242210.97907776
"1985-02-26",1834931.65968,36698.6331936
"1985-04-23",1125424.7512704,56271.23756352
"1985-07-30",17615343.932928,176153.43932928
"1985-08-27",152910971.64,305821.94328
"1985-09-09",205659140.416934,1142550.78009408
"1985-09-24",312354299.988461,1837378.23522624
"1985-10-08",278787283.494048,648342.5197536
"1985-11-05",19107755.0161344,173706.86378304
"1985-12-03",587178.1310976,19572.60436992
"1986-01-14",11890357.1547264,44038.35983232
"1986-02-12",2373178.2798528,237317.82798528
"1986-02-25",4452767.4941568,222638.37470784
"1986-03-11",11156384.4908544,185939.74151424
"1986-06-17",74620554.16032,746205.5416032
"1986-06-23",737202143.593037,2047783.73220288
"1986-07-01",454182284.403994,1081386.39143808
"1986-07-15",422768254.390272,782904.1747968
"1986-07-29",354753454.2048,1419013.8168192
"1986-08-14",243458732.606342,785350.75034304
"1986-08-26",48295401.2827776,689934.30403968
"1986-09-09",253293966.302227,1206161.74429632
"1986-09-23",223029826.795238,518674.01580288
"1986-10-07",8807671.966464,36698.6331936
"1986-10-21",23976440.353152,68504.11529472
"1986-11-04",134316997.488576,447723.32496192
"1986-11-18",51867401.580288,259337.00790144
"1986-12-03",10275617.294208,68504.11529472
"1986-12-18",55145812.8122496,239764.40353152
"1987-01-07",181046590.42176,905232.9521088
"1987-01-22",91991240.538624,229978.10134656
"1987-02-03",5382466.201728,48931.5109248
"1987-02-18",1321150.7949696,22019.17991616
"1987-03-03",9663973.407648,193279.46815296
"1987-03-17",1565808.3495936,19572.60436992
"1987-03-31",176838480.482227,1360296.00370944
"1987-04-14",8611945.9227648,78290.41747968
"1987-04-28",636109.6420224,63610.96420224
"1987-05-11",1614739.8605184,53824.66201728
"1987-05-26",440383.5983232,44038.35983232
"1987-06-10",8147096.5689792,271569.88563264
"1987-08-04",3963452.3849088,132115.07949696
"1987-10-13",24906139.0607232,1245306.95303616
"1987-11-10",236632786.832333,763331.57042688
"1987-11-12",58228498.000512,415917.8428608
"1987-11-13",23633919.7766784,393898.66294464
"1987-11-15",21358604.5186752,237317.82798528
"1987-11-17",47463565.597056,237317.82798528
"1987-11-19",137008230.58944,2740164.6117888
"1987-11-20",167443630.384666,4186090.75961664
"1987-11-21",240278184.39623,3432545.49137472
"1987-11-22",411758664.432192,1871630.2928736
"1987-11-23",159712451.658547,1330937.09715456
"1987-11-24",144347957.22816,1154783.65782528
"1987-11-26",72222910.1250048,902786.37656256
"1987-11-28",71342142.9283584,594517.85773632
"1987-11-30",44442044.7974496,423257.56949952
"1987-12-02",27352714.6069632,210405.49697664
"1987-12-03",33224495.9179392,237317.82798528
"1987-12-06",636109.6420224,4893.15109248
"1987-12-08",25346522.6590464,181046.59042176
"1987-12-09",21529864.806912,195726.0436992
"1987-12-10",18275919.3304128,203065.77033792
"1987-12-13",4501699.0050816,56271.23756352
"1987-12-14",17982330.264864,119882.20176576
"1987-12-17",11890357.1547264,198172.61924544
"1987-12-18",10569206.3597568,176153.43932928
"1987-12-20",15658083.495936,195726.0436992
"1987-12-22",16074001.3387968,178600.01487552
"1988-01-01",6040595.02366656,201353.167455552
"1988-01-08",13358302.4824704,190832.89260672
"1988-01-19",3139771.95100801,188386.31706048
"1988-01-21",6238767.642912,207958.9214304
"1988-01-23",6165370.3765248,205512.34588416
"1988-01-25",11303179.0236288,188386.31706048
"1988-01-27",21285207.252288,212852.07252288
"1988-02-02",6752548.5076224,168813.71269056
"1988-02-11",34349920.6692096,381665.78521344
"1988-02-13",26716604.9649408,205512.34588416
"1988-02-16",32294797.210368,215298.64806912
"1988-02-17",23951974.5976896,217745.22361536
"1988-02-19",45506305.160064,379219.2096672
"1988-02-21",9394850.0975616,78290.41747968
