"Date","S191_AMMONIA-N_mg/L","S191_S_FLOW_cfs"
"1985-09-09",0.18,1142550.78009408
"1985-09-24",0.17,1837378.23522624
"1985-10-08",0.43,648342.5197536
"1985-11-05",0.11,173706.86378304
"1985-12-03",0.03,19572.60436992
"1986-01-14",0.27,44038.35983232
"1986-02-12",0.01,237317.82798528
"1986-02-25",0.02,222638.37470784
"1986-03-11",0.06,185939.74151424
"1986-06-17",0.1,746205.5416032
"1986-06-23",0.36,2047783.73220288
"1986-07-01",0.42,1081386.39143808
"1986-07-15",0.54,782904.1747968
"1986-07-29",0.25,1419013.8168192
"1986-08-14",0.31,785350.75034304
"1986-08-26",0.07,689934.30403968
"1986-09-09",0.21,1206161.74429632
"1986-09-23",0.43,518674.01580288
"1986-10-07",0.24,36698.6331936
"1986-10-21",0.35,68504.11529472
"1986-11-04",0.3,447723.32496192
"1986-11-18",0.2,259337.00790144
"1986-12-03",0.15,68504.11529472
"1986-12-18",0.23,239764.40353152
"1987-01-07",0.2,905232.9521088
"1987-01-22",0.4,229978.10134656
"1987-02-03",0.11,48931.5109248
"1987-02-18",0.06,22019.17991616
"1987-03-03",0.05,193279.46815296
"1987-03-17",0.08,19572.60436992
"1987-03-31",0.13,1360296.00370944
"1987-04-14",0.11,78290.41747968
"1987-04-28",0.01,63610.96420224
"1987-05-11",0.03,53824.66201728
"1987-05-26",0.01,44038.35983232
"1987-06-10",0.03,271569.88563264
"1987-08-04",0.03,132115.07949696
"1987-10-13",0.02,1245306.95303616
"1987-11-10",0.31,763331.57042688
"1987-11-12",0.14,415917.8428608
"1987-11-13",0.06,393898.66294464
"1987-11-15",0.09,237317.82798528
"1987-11-17",0.2,237317.82798528
"1987-11-19",0.05,2740164.6117888
"1987-11-20",0.04,4186090.75961664
"1987-11-21",0.07,3432545.49137472
"1987-11-22",0.22,1871630.2928736
"1987-11-23",0.12,1330937.09715456
"1987-11-24",0.125,1154783.65782528
"1987-11-26",0.08,902786.37656256
"1987-11-28",0.12,594517.85773632
"1987-11-30",0.105,423257.56949952
"1987-12-02",0.13,210405.49697664
"1987-12-03",0.14,237317.82798528
"1987-12-06",0.13,4893.15109248
"1987-12-08",0.14,181046.59042176
"1987-12-09",0.11,195726.0436992
"1987-12-10",0.09,203065.77033792
"1987-12-13",0.08,56271.23756352
"1987-12-14",0.15,119882.20176576
"1987-12-17",0.06,198172.61924544
"1987-12-18",0.06,176153.43932928
"1987-12-20",0.08,195726.0436992
"1987-12-22",0.09,178600.01487552
"1988-01-01",0.03,201353.167455552
"1988-01-08",0.07,190832.89260672
"1988-01-19",0.0166666666666667,188386.31706048
"1988-01-21",0.03,207958.9214304
"1988-01-23",0.03,205512.34588416
"1988-01-25",0.06,188386.31706048
"1988-01-27",0.1,212852.07252288
"1988-02-02",0.04,168813.71269056
"1988-02-11",0.09,381665.78521344
"1988-02-13",0.13,205512.34588416
"1988-02-16",0.15,215298.64806912
"1988-02-17",0.11,217745.22361536
"1988-02-19",0.12,379219.2096672
"1988-02-21",0.12,78290.41747968
"1988-02-23",0.09,183493.165968
"1988-03-03",0.01,173706.86378304
"1988-03-07",0.005,132115.07949696
"1988-03-11",0.07,205512.34588416
"1988-03-14",0.02,185939.74151424
"1988-03-16",0.2,193279.46815296
"1988-03-18",0.01,229978.10134656
"1988-03-19",0.05,797583.62807424
"1988-03-20",0.03,1110745.29799296
"1988-03-21",0.03,709506.9084096
"1988-03-28",0.05,207958.9214304
"1988-04-04",0.11,163920.56159808
"1988-04-30",0.06,139454.80613568
"1988-05-05",0.045,163920.56159808
"1988-05-17",0.03,134561.6550432
"1988-05-18",0.01,97863.0218496
"1988-06-07",0.193333333333333,127221.92840448
"1988-06-10",0.12,88076.71966464
"1988-06-21",0.005,119882.20176576
"1988-06-30",0.085,132115.07949696
"1988-07-01",0.11,132115.07949696
"1988-07-02",0.14,117435.62621952
"1988-07-06",0.103333333333333,100309.59739584
"1988-07-29",0.05,327841.12319616
"1988-07-30",0.025,665468.54857728
"1988-08-01",0.08,582284.98000512
"1988-08-02",0.015,1612293.28497216
"1988-08-03",0.025,1507090.53648384
"1988-08-08",0.04,530906.89353408
"1988-08-09",0.11,545586.34681152
"1988-08-10",0.1,1103405.57135424
"1988-08-11",0.05,2463701.57506368
"1988-08-16",0.28,1233074.07530496
"1988-08-17",0.205,985969.94513472
"1988-08-19",0.19,966397.3407648
"1988-08-21",0.24,1164569.96001024
"1988-08-22",0.23,1350509.70152448
"1988-08-23",0.25,1130317.90236288
"1988-08-25",0.03,1282005.58622976
"1988-08-27",0.32,873427.47000768
"1988-08-28",0.27,636109.6420224
"1988-08-30",0.3,413471.26731456
"1988-09-03",0.08,428150.720592
"1988-09-05",0.2,234871.25243904
"1988-09-07",0.126666666666667,185939.74151424
"1988-09-09",0.01,433043.87168448
"1988-09-10",0.02,420810.99395328
"1988-09-12",0.145,210405.49697664
"1988-09-13",0.14,181046.59042176
"1988-10-03",0.01,134561.6550432
"1988-11-04",0.27,225084.95025408
"1988-11-06",0.24,210405.49697664
"1988-11-08",0.03,210405.49697664
"1988-11-30",0.2,193279.46815296
"1989-03-07",0.01,205512.34588416
"1989-03-18",1.01,83183.56857216
"1989-04-11",0.0366666666666667,193279.46815296
"1989-07-06",0.05,249550.70571648
"1989-07-24",0.01,41591.78428608
"1989-07-25",0.13,168813.71269056
"1989-07-28",0.03,215298.64806912
"1989-07-31",0.03,237317.82798528
"1989-08-02",0.005,217745.22361536
"1989-08-14",0.13,442830.17386944
"1989-08-15",0.05,215298.64806912
"1989-08-21",0.24,800030.20362048
"1989-08-28",0.35,486868.53370176
"1989-08-30",0.32,217745.22361536
"1989-09-06",0.2,2576244.05019072
"1989-09-12",0.215,389005.51185216
"1989-09-13",0.33,222638.37470784
"1989-09-15",0.26,215298.64806912
"1989-09-17",0.25,379219.2096672
"1989-09-19",0.38,457509.62714688
"1989-09-20",0.35,445276.74941568
"1989-09-22",0.31,207958.9214304
"1989-09-24",0.28,251997.28126272
"1989-09-25",0.37,1546235.74522368
"1989-09-27",0.31,773117.87261184
"1989-09-28",0.32,787797.32588928
"1989-09-29",0.28,491761.68479424
"1989-10-01",0.3,256890.4323552
"1989-10-03",0.19,229978.10134656
"1989-10-05",0.31,203065.77033792
"1989-10-07",0.25,332734.27428864
"1989-10-09",0.27,4660726.4155872
"1989-10-11",0.27,4775715.46626048
"1989-10-15",0.15,1629419.31379584
"1989-10-17",0.225,826942.53462912
"1989-10-20",0.24,985969.94513472
"1989-10-22",0.25,462402.77823936
"1989-10-24",0.36,232424.6768928
"1989-10-25",0.3,413471.26731456
"1989-10-27",0.25,415917.8428608
"1989-10-29",0.28,29358.90655488
"1989-10-31",0.38,205512.34588416
"1989-11-01",0.16,181046.59042176
"1989-11-03",0.22,220191.7991616
"1989-12-23",0.09,474635.65597056
"1989-12-24",0.1,222638.37470784
"1989-12-25",0.07,283802.76336384
"1989-12-26",0.09,447723.32496192
"1989-12-29",0.06,222638.37470784
"1989-12-31",0.1,207958.9214304
"1990-02-26",0.06,4893.15109248
"1990-07-16",0.08,1071600.08925312
"1990-07-18",0.1,393898.66294464
"1990-07-23",0.13,217745.22361536
"1990-07-30",0.16,166367.13714432
"1990-08-01",0.02,183493.165968
"1990-08-06",0.08,359646.60529728
"1990-08-13",0.13,1037348.03160576
"1990-08-15",0.18,1671011.09808192
"1990-08-20",0.21,430597.29613824
"1990-08-27",0.29,567605.52672768
"1990-08-29",0.26,7148893.74611328
"1990-09-04",0.24,2395197.45976896
"1990-09-24",0.21,841621.98790656
"1990-09-25",0.29,570052.10227392
"1990-10-01",0.15,5563512.79214976
"1990-10-09",0.215,890553.49883136
"1990-10-16",0.21,981076.79404224
"1990-10-22",0.27,256890.4323552
"1990-10-24",0.31,247104.13017024
"1990-10-31",0.23,232424.6768928
"1990-11-19",0.02,225084.95025408
"1991-01-15",0.05,273771.803624256
"1991-01-17",0.08,1057899.26619418
"1991-01-28",0.09,275484.406506624
"1991-02-26",0.06,151687.68386688
"1991-03-04",0.03,524301.139559232
"1991-03-12",0.07,288940.572010944
"1991-03-18",0.03,293833.723103424
"1991-03-25",0.105,273771.803624256
"1991-04-08",0.07,288695.91445632
"1991-04-09",0.08,346435.097347584
"1991-04-22",0.08,279154.269825984
"1991-04-23",0.09,269367.967641024
"1991-04-29",0.09,264964.131657792
"1991-05-20",0.01,272793.17340576
"1991-05-28",0.03,549990.182794752
"1991-06-04",0.01,141412.066572672
"1991-06-10",0.08,156825.492513984
"1991-06-24",0.15,431086.611247488
"1991-07-01",0.09,558308.539651968
"1991-07-02",0.15,857280.071402496
"1991-07-08",0.09,268878.652531776
"1991-07-16",0.14,569562.787164672
"1991-07-23",0.17,690668.276703552
"1991-07-29",0.17,544118.401483776
"1991-07-30",0.16,271080.570523392
"1991-08-12",0.04,1306715.99924678
"1991-08-13",0.07,569807.444719296
"1991-08-20",0.19,271325.228078016
"1991-08-27",0.09,1352466.96196147
"1991-08-28",0.09,1310385.86256614
"1991-09-03",0.08,818379.52021728
"1991-09-10",0.14,1493389.7134249
"1991-09-16",0.07,522833.194231488
"1991-09-24",0.23,846759.796553664
"1991-09-25",0.19,944378.16084864
"1991-09-30",0.22,816422.259780288
"1991-10-07",0.08,1652661.78148512
"1991-10-08",0.05,1330692.43959994
"1991-10-14",0.26,256890.4323552
"1991-10-21",0.21,252731.253926592
"1991-10-23",0.12,241477.006413888
"1992-06-29",0.12,3485391.5231735
"1992-07-06",0.2,1218639.27958214
"1992-07-13",0.405,284536.736027712
"1992-07-21",0.37,1568744.24024909
"1992-07-27",0.315,595007.172845568
"1992-08-03",0.2,277441.666943616
"1992-08-10",0.19,1808019.32867136
"1992-08-11",0.21,2233968.13127174
"1992-08-17",0.15,346190.43979296
"1992-08-25",0.11,1096065.84471552
"1992-08-31",0.13,917955.144949248
"1992-09-08",0.13,182269.87819488
"1992-09-09",0.11,769203.351737856
"1992-09-15",0.07,1060101.18418579
"1992-09-21",0.015,490538.39702112
"1992-09-22",0.07,526503.057550848
"1992-09-28",0.11,466806.614222592
"1992-10-05",0.1,518674.01580288
"1992-10-06",0.12,240498.376195392
"1992-10-14",0.09,227286.868245696
"1992-10-20",0.1,228265.498464192
"1992-11-17",0.025,234381.937329792
"1992-11-18",0.05,238785.773313024
"1992-11-23",0.166666666666667,546564.977030016
"1992-11-30",0.04,213586.045186752
"1993-01-06",0.05,445766.064524928
"1993-01-11",0.08,815932.94467104
"1993-01-13",0.11,500080.041651456
"1993-01-21",0.06,251507.966153472
"1993-01-27",0.05,2796435.84935232
"1993-01-28",0.06,2219044.02043968
"1993-02-08",0.04,231690.704228928
"1993-02-18",0.03,467051.271777216
"1993-02-24",0.055,1109766.66777446
"1993-03-03",0.05,274995.091397376
"1993-03-08",0.005,193279.46815296
"1993-03-17",0.03,739599.787628352
"1993-03-25",0.03,4570937.09304019
"1993-03-30",0.08,613845.804551616
"1993-04-05",0.12,604059.502366656
"1993-04-06",0.1,520386.618685248
"1993-04-13",0.07,178844.672430144
"1993-06-26",0.05,189854.262388224
"1993-07-13",0.01,171871.93212336
"1993-07-15",0.0325,118536.585215328
"1993-07-28",0.02,125851.846098586
"1993-08-10",0.0075,130451.408125517
"1993-08-17",0.044,114842.256140506
"1993-08-24",0.02,131601.29863225
"1993-08-31",0.078,122133.051268301
"1993-09-07",0.04,272597.447362061
"1993-09-08",0.08,581844.596406797
"1993-09-14",0.09,611032.24267344
"1993-09-21",0.05,114010.420454784
"1993-10-04",0.05,60136.8269265792
"1993-10-19",0.032,426609.377997869
"1993-10-20",0.04,258700.898259418
"1993-10-26",0.03,251434.568887085
"1993-11-01",0.1,111490.447642157
"1993-11-02",0.04,124359.435015379
"1993-11-09",0.044,127711.243513728
"1993-11-29",0.025,60430.415992128
"1993-12-15",0.03,63513.1011803904
"1994-01-03",0.02,133852.14813479
"1994-01-04",0.02,113349.845057299
"1994-02-15",0.06,117802.612551456
"1994-02-16",0.09,247935.965855962
"1994-02-23",0.1,556718.265546912
"1994-03-01",0.125,305821.94328
"1994-03-02",0.1,377775.730094918
"1994-03-22",0.04,141509.929594522
"1994-03-28",0.03,166000.150812384
"1994-04-19",0.017,195407.988878189
"1994-04-25",0.055,331462.055004595
"1994-04-26",0.0065,174905.685800698
"1994-05-03",0.16,219041.908654867
"1994-05-10",0.0215,184618.59071927
"1994-06-03",0.03475,156067.05409465
"1994-06-07",0.005,509939.741102803
"1994-06-14",0.0045,336599.863651699
"1994-06-21",0.119,1646031.56175481
"1994-06-28",0.138,304060.408886707
"1994-07-05",0.063,745398.171672941
"1994-07-07",0.0805,511089.631609536
"1994-07-12",0.094,306384.655655635
"1994-07-20",0.0906666666666667,136494.44972473
"1994-07-26",0.091,147381.710905498
"1994-08-02",0.018,177719.247678874
"1994-08-10",0.0395,792959.600291847
"1994-08-15",0.083,2560463.63791747
"1994-08-24",0.107,575189.910921024
"1994-08-29",0.1,2993580.90686834
"1994-08-30",0.092,1768066.75000126
"1994-09-07",0.16,347707.316631629
"1994-09-12",0.149,563837.800386471
"1994-09-14",0.132,1078401.56927167
"1994-09-21",0.09,3069816.20088918
"1994-09-28",0.150333333333333,1166282.56289261
"1994-10-05",0.083,840741.220709914
"1994-10-10",0.121,338410.329555917
"1994-10-11",0.128,314458.354958227
"1994-10-19",0.149,258138.185883782
"1994-10-24",0.106,153033.300417312
"1994-10-25",0.0604,155675.602007251
"1994-11-01",0.023,776225.023555565
"1994-11-07",0.076,183615.494745312
"1994-11-21",0.0805,1687574.41452996
"1994-11-22",0.073,1207800.9499123
"1994-11-30",0.036,183150.645391526
"1994-12-05",0.071,384577.210113466
"1994-12-06",0.0205,463870.723567104
"1994-12-19",0.007,165486.369947674
"1995-01-04",0.02,184545.193452883
"1995-01-17",0.0055,875702.785265683
"1995-01-31",0.049,190172.317209235
"1995-02-01",0.032,180288.152002426
"1995-02-13",0.029,174979.083067085
"1995-02-15",0.0048,198613.002843763
"1995-02-22",0.027,405544.362544742
"1995-03-01",0.0202,209524.729779994
"1995-03-08",0.0255,469742.50487808
"1995-03-13",0.0665,178012.836744422
"1995-03-15",0.0152,176642.754438528
"1995-03-29",0.0542,178135.165521734
"1995-04-10",0.029,167394.698873741
"1995-04-24",0.028,178233.028543584
"1995-05-22",0.038,200350.071481594
"1995-05-24",0.0046,167443.630384666
"1995-06-05",0.062,166269.27412247
"1995-06-07",0.0088,172312.315721683
"1995-06-28",0.0422,1098243.29695167
"1995-07-05",0.0621666666666667,382889.07298656
"1995-07-12",0.0832,379953.182331072
"1995-07-17",0.06,655388.657326771
"1995-07-19",0.0512,254957.63767367
"1995-07-26",0.061,1216510.75885692
"1995-08-03",0.0803333333333333,4198250.24008145
"1995-08-09",0.1572,1154759.19206982
"1995-08-14",0.215,1335952.57702435
"1995-08-16",0.0964,906480.705637382
"1995-08-23",0.1208,697420.825211174
"1995-08-29",0.126,1334337.83716383
"1995-08-30",0.0894285714285714,850821.111960422
"1995-09-06",0.0974,1994228.19349569
"1995-09-11",0.131,7847953.77694044
"1995-09-13",0.059,2556622.51430988
"1995-09-20",0.0888,801473.683192762
"1995-09-26",0.14,532179.112818125
"1995-09-27",0.0796,370705.126766285
"1995-10-04",0.0876,2281162.57355871
"1995-10-09",0.147,1443479.5722816
"1995-10-11",0.0814,966177.148965639
"1995-10-18",0.0548333333333333,3564636.10511622
"1995-10-24",0.0525,1356699.53765647
"1995-10-25",0.0804,853145.35872935
"1995-11-01",0.0876,358252.057235923
"1995-11-06",0.166,194453.824415155
"1995-11-08",0.056,192105.111890765
"1995-11-15",0.0458,172654.836298157
"1995-11-19",0.061,172165.521188909
"1996-01-02",0.039,128518.613443987
"1996-01-03",0.01125,167419.164629203
"1996-01-10",0.0198,136714.641523891
"1996-01-16",0.0388,190735.02958487
"1996-01-29",0.084,53898.0592836672
"1996-02-07",0.0204,125974.174875898
"1996-02-12",0.012,151296.231779482
"1996-02-21",0.0428,119319.489390125
"1996-03-11",0.0454,278713.886227661
"1996-03-13",0.066,396663.293311891
"1996-03-25",0.187,112542.47512704
"1996-04-03",0.145,483345.464915174
"1996-04-08",0.0644,212240.42863632
"1996-04-10",0.1096,178771.275163757
"1996-04-17",0.0774,109826.776270714
"1996-04-22",0.092,117827.078306918
"1996-05-06",0.0532,142708.751612179
"1996-05-29",0.054,537879.633840864
"1996-06-03",0.053,181438.042509158
"1996-06-05",0.0358,124408.366526304
"1996-06-12",0.057,162844.068357734
"1996-06-18",0.088,192692.290021862
"1996-06-26",0.0372,687732.386048064
"1996-07-01",0.0758,214784.86720441
"1996-07-10",0.057,715158.497921414
"1996-07-15",0.066,1009799.5909551
"1996-07-16",0.0528,1216584.1561233
"1996-07-24",0.096,180728.535600749
"1996-08-14",0.136,190001.056920998
"1996-09-09",0.05675,203261.496381619
"1996-09-18",0.0348,93972.9667310784
"1996-09-23",0.0124,153424.75250471
"1996-10-02",0.0186,169988.068952755
"1996-10-07",0.0315,166293.739877933
"1996-10-09",0.0206,531224.948355091
"1996-10-16",0.069,185279.166116755
"1996-10-21",0.0346,197096.126005094
"1996-10-23",0.0218,150342.067316448
"1997-05-05",0.0644,205830.400705171
"1997-06-02",0.1508,216619.79886409
"1997-06-16",0.149,1176068.86507757
"1997-06-30",0.066,170379.521040154
"1997-07-14",0.049,460836.969889766
"1997-07-28",0.0898,220436.456716224
"1997-08-11",0.109,655706.712147782
"1997-08-25",0.38,637822.244904768
"1997-09-22",0.162,161571.84907369
"1997-10-06",0.147,171040.096437638
"1997-11-03",0.0686,148262.478102144
"1997-12-22",0.09,203897.606023642
"1998-01-05",0.123,388026.881633664
"1998-01-20",0.0508,662385.863389018
"1998-02-02",0.026,210723.551797651
"1998-02-17",0.096,2631047.3424265
"1998-03-02",0.09375,748505.322616666
"1998-03-16",0.201,382081.703056301
"1998-04-06",0.0506,416015.70588265
"1998-05-04",0.0836,185866.344247853
"1998-08-10",0.022,1719795.81447395
"1998-08-24",0.277,635253.340581216
"1998-09-21",0.03,903153.362894496
"1998-10-05",0.1356,301344.710030381
"1998-11-16",0.15,287350.297905888
"1999-01-25",0.031,283411.311276442
"1999-02-08",0.0358,257795.665307309
"1999-06-21",0.247,1270017.36605318
"1999-07-12",0.249,904890.431532327
"1999-07-26",0.263,426487.049220557
"1999-08-09",0.217,151173.90300217
"1999-08-23",0.123,1153193.38372022
"1999-09-07",0.1688,283142.187966355
"1999-09-20",0.177,855518.537009203
"1999-10-04",0.069,751636.939315853
"1999-10-18",0.184,4319649.31868588
"1999-11-01",0.1725,583826.322599251
"1999-11-15",0.017,282481.61256887
"2000-01-24",0.106,303179.641690061
"2000-04-17",0.012,281600.845372224
"2000-08-07",0.1322,323363.889946541
"2000-09-05",0.0928,339511.288551725
"2000-09-18",0.166,681885.07049255
"2001-07-16",0.302,1891618.81508638
"2001-07-30",0.2264,454598.202246854
"2001-08-13",0.24,965125.121480755
"2001-08-27",0.2286,262664.350644326
"2001-09-10",0.307,2378316.0884999
"2001-09-24",0.1966,319987.61569273
"2001-10-08",0.477,288279.996613459
"2001-10-22",0.056,441019.707965222
"2001-11-05",0.188,1106830.77711898
"2001-11-19",0.0648,274187.721467117
"2001-12-17",0.012,278028.845074714
"2002-07-08",0.302,1707954.38883014
"2002-07-22",0.552,292830.627129466
"2002-08-05",0.566,271496.488366253
"2002-09-03",0.123,1653591.48019269
"2002-09-16",0.097,293491.20252695
"2002-12-30",0.109,284071.886673926
"2003-01-13",0.115,271741.145920877
"2003-03-24",0.059,40882.2773776704
"2003-07-21",0.078,130059.956038118
"2003-08-04",0.116,299509.778370701
"2003-09-02",0.193,672367.891617677
"2003-09-15",0.1085,299827.833191712
"2003-10-06",0.214,1001236.57654326
"2003-11-03",0.051,308170.65580439
"2004-02-02",0.12,304769.915795117
"2004-07-12",0.029,268780.789509926
"2004-08-09",0.086,571397.718824352
"2004-08-23",0.197,953503.887636115
"2004-09-13",0.123,2226873.06218765
"2004-10-04",0.17,1931449.06497917
"2004-11-15",0.036,280083.968533555
"2005-02-28",0.041,274163.255711654
"2005-06-13",0.356,1667659.28958357
"2005-06-27",0.119,2077852.14566617
"2005-07-11",0.638,1511959.22182086
"2005-07-25",0.196,309247.149044736
"2005-08-08",0.126,307510.080406906
"2005-09-06",0.228,625393.641129869
"2005-09-20",0.089,296231.367138739
"2005-10-17",0.244,279325.530114221
"2005-11-01",0.154,1283620.32609028
"2005-11-14",0.155,298286.490597581
"2005-12-05",0.122,292610.435330304
"2006-01-09",0.018,314727.478268314
