"","date","L006_NITRATE+NITRITE-N_mg/L","days"
"148",1981-09-10,0.837,3235
"149",1981-09-22,0.44,3247
"150",1981-10-08,0.56,3263
"151",1981-11-24,0.036,3311
"152",1982-01-07,0.327,3355
"153",1982-02-11,0.361,3390
"154",1982-03-04,0.3,3411
"155",1982-04-01,0.357,3439
"156",1982-05-05,0.327,3472
"157",1982-05-19,0.116,3486
"158",1982-06-02,0.112,3500
"159",1982-06-24,0.209,3522
"160",1982-07-09,0.1405,3537
"161",1982-08-25,0.009,3584
"162",1982-09-28,0.308,3618
"163",1982-11-23,0.102,3675
"164",1982-12-20,0.394,3702
"165",1983-01-25,0.109,3738
"166",1983-02-24,0.283,3768
"167",1983-03-23,0.358,3795
"168",1983-04-20,0.315333333333333,3823
"169",1983-05-26,0.182,3858
"170",1983-06-28,0.212,3891
"171",1983-07-19,0.047,3912
"172",1983-08-30,0.006,3954
"173",1983-09-30,0.152,3985
"174",1983-10-27,0.125,4012
"175",1983-12-21,0.13,4068
"176",1984-01-18,0.324,4096
"177",1984-02-15,0.17,4124
"178",1984-03-22,0.413,4160
"179",1984-04-18,0.143,4187
"180",1984-05-16,0.254,4214
"181",1984-06-21,0.137,4250
"182",1984-07-26,0.009,4285
"183",1984-08-22,0.071,4312
"184",1984-10-18,0.076,4369
"185",1984-11-29,0.27,4412
"186",1984-12-20,0.028,4433
"187",1985-01-15,0.317,4459
"188",1985-02-27,0.285,4502
"189",1985-04-04,0.374,4538
"190",1985-05-01,0.268,4564
"191",1985-06-06,0.009,4600
"192",1985-07-10,0.006,4634
"193",1985-08-01,NA,4656
"194",1985-08-08,0.034,4663
"195",1985-08-22,0.022,4677
"196",1985-09-05,0.071,4691
"197",1985-09-27,0.206,4713
"198",1985-10-17,0.115,4733
"199",1985-10-24,0.121,4740
"200",1985-11-14,0.184,4762
"201",1985-12-11,0.107,4789
"202",1986-01-30,0.245,4839
"203",1986-02-20,0.201,4860
"204",1986-04-03,0.235,4902
"205",1986-05-01,0.076,4929
"206",1986-06-03,0.005,4962
"207",1986-06-23,0.008,4982
"208",1986-07-02,NA,4991
"209",1986-07-10,0.009,4999
"210",1986-07-22,0.016,5011
"211",1986-08-07,0.026,5027
"212",1986-09-25,0.038,5076
"213",1986-10-10,0.012,5091
"214",1986-10-23,0.185,5104
"215",1986-12-10,0.314,5153
"216",1987-01-14,0.335,5188
"217",1987-02-12,0.406,5217
"218",1987-04-03,0.383,5267
"219",1987-05-01,0.355,5294
"220",1987-06-04,0.184,5328
"221",1987-06-24,NA,5348
"222",1987-07-21,0.059,5375
"223",1987-08-18,NA,5403
"224",1987-09-14,0.03,5430
"225",1987-10-19,0.253,5465
"226",1987-11-18,0.296,5496
"227",1987-12-14,0.279,5522
"228",1988-01-19,0.371,5558
"229",1988-02-17,0.365,5587
"230",1988-03-22,0.381,5621
"231",1988-04-20,0.441,5649
"232",1988-05-04,0.386,5663
"233",1988-05-18,0.343,5677
"234",1988-06-02,0.282,5692
"235",1988-06-15,0.369,5705
"236",1988-06-29,0.08,5719
"237",1988-07-14,0.234,5734
"238",1988-07-25,0.066,5745
"239",1988-08-10,0.008,5761
"240",1988-08-24,0.009,5775
"241",1988-09-08,0.071,5790
"242",1988-09-21,NA,5803
"243",1988-10-05,0.028,5817
"244",1988-10-19,0.014,5831
"245",1988-11-02,0.037,5846
"246",1988-11-16,0.016,5860
"247",1988-12-12,0.272,5886
"248",1989-01-11,0.361,5916
"249",1989-02-08,0.172,5944
"250",1989-03-15,0.229,5979
"251",1989-04-05,0.165,5999
"252",1989-05-17,0.034,6041
"253",1989-06-13,0.053,6068
"254",1989-06-27,0.022,6082
"255",1989-07-11,0.012,6096
"256",1989-07-25,0.026,6110
"257",1989-08-08,0.02,6124
"258",1989-08-22,0.074,6138
"259",1989-09-06,0.031,6153
"260",1989-09-20,0.015,6167
"261",1989-10-05,0.026,6182
"262",1989-10-18,0.005,6195
"263",1989-11-01,0.259,6210
"264",1989-11-15,0.142,6224
"265",1989-12-13,0.2,6252
"266",1990-01-10,0.384,6280
"267",1990-02-07,0.452,6308
"268",1990-03-07,0.636,6336
"269",1990-04-05,0.536,6364
"270",1990-04-18,0.496,6377
"271",1990-05-02,0.343,6391
"272",1990-05-16,0.231,6405
"273",1990-05-31,NA,6420
"274",1990-06-12,NA,6432
"275",1990-06-26,0.028,6446
"276",1990-07-10,NA,6460
"277",1990-07-24,0.004,6474
"278",1990-08-07,NA,6488
"279",1990-08-20,0.005,6501
"280",1990-09-18,0.006,6530
"281",1990-10-02,0.055,6544
"282",1990-10-31,0.037,6574
"283",1990-11-14,0.032,6588
"284",1990-12-11,0.014,6615
"285",1991-01-07,0.018,6642
"286",1991-02-07,0.192,6673
"287",1991-03-06,0.32,6700
"288",1991-03-22,0.359,6716
"289",1991-04-17,0.322,6741
"290",1991-05-01,0.219,6755
"291",1991-05-13,0.06,6767
"292",1991-05-29,0.044,6783
"293",1991-06-12,0.05,6797
"294",1991-07-10,NA,6825
"295",1991-07-24,0.062,6839
"296",1991-08-06,0.008,6852
"297",1991-08-20,0.009,6866
"298",1991-09-03,0.011,6880
"299",1991-09-16,0.011,6893
"300",1991-10-14,0.058,6921
"301",1991-10-28,0.007,6936
"302",1991-12-12,NA,6981
"303",1992-01-22,0.311,7022
"304",1992-02-04,0.377,7035
"305",1992-03-09,0.155,7069
"306",1992-04-08,0.352,7098
"307",1992-05-05,0.096,7125
"308",1992-05-19,0.122,7139
"309",1992-06-02,0.162,7153
"310",1992-06-16,0.014,7167
"311",1992-07-01,0.127,7182
"312",1992-07-22,0.013,7203
"313",1992-08-03,NA,7215
"314",1992-08-18,0.033,7230
"315",1992-08-26,0.101,7238
"316",1992-09-08,0.042,7251
"317",1992-10-12,0.056,7285
"318",1992-11-23,0.234,7328
"319",1992-12-08,0.083,7343
"320",1993-01-06,0.151,7372
"321",1993-02-22,0.413,7419
"322",1993-03-09,0.437,7434
"323",1993-04-20,0.56,7475
"324",1993-05-11,0.491,7496
"325",1993-05-25,0.203,7510
"326",1993-06-09,0.193,7525
"327",1993-06-15,0.275,7531
"328",1993-07-07,0.07,7553
"329",1993-07-20,0.071,7566
"330",1993-08-02,0.092,7579
"331",1993-08-17,0.16,7594
"332",1993-08-31,0.057,7608
"333",1993-09-16,0.114,7624
"334",1993-10-05,0.09775,7643
"335",1993-10-06,0.155,7644
"336",1993-10-12,0.016,7650
"337",1993-10-19,0.0985714285714286,7657
"338",1993-10-20,0.121,7658
"339",1993-10-26,0.0616666666666667,7664
"340",1993-11-04,0.0973333333333333,7674
"341",1993-11-09,0.142,7679
"342",1993-11-10,0.164,7680
"343",1993-11-11,0.179666666666667,7681
"344",1993-11-12,0.176666666666667,7682
"345",1993-11-13,0.202,7683
"346",1993-11-14,0.0563333333333333,7684
"347",1993-11-15,0.13,7685
"348",1993-11-16,0.223875,7686
"349",1993-11-17,0.162125,7687
"350",1993-11-18,0.175,7688
"351",1993-11-19,0.16,7689
"352",1993-11-20,0.1685,7690
"353",1993-11-21,0.179,7691
"354",1993-11-22,0.234,7692
"355",1993-11-23,0.149,7693
"356",1993-11-24,0.224,7694
"357",1993-11-25,0.125,7695
"358",1993-11-26,0.16,7696
"359",1993-11-27,0.159,7697
"360",1993-11-28,0.2085,7698
"361",1993-11-29,0.2665,7699
"362",1993-11-30,0.2245,7700
"363",1993-12-01,0.2235,7701
"364",1993-12-02,0.204,7702
"365",1993-12-03,0.1965,7703
"366",1993-12-04,0.232,7704
"367",1993-12-05,0.302,7705
"368",1993-12-06,0.362,7706
"369",1993-12-07,0.319,7707
"370",1993-12-08,0.209071428571429,7708
"371",1993-12-14,0.336,7714
"372",1993-12-15,0.3735,7715
"373",1993-12-16,0.4285,7716
"374",1993-12-17,0.3915,7717
"375",1993-12-18,0.3805,7718
"376",1993-12-19,0.394,7719
"377",1993-12-20,0.409,7720
"378",1993-12-21,0.393,7721
"379",1993-12-22,0.389,7722
"380",1993-12-23,0.387,7723
"381",1993-12-24,0.369,7724
"382",1993-12-25,0.3745,7725
"383",1993-12-26,0.448,7726
"384",1993-12-27,0.316,7727
"385",1993-12-28,0.3365,7728
"386",1993-12-29,0.233,7729
"387",1993-12-30,0.289,7730
"388",1994-01-06,0.431,7737
"389",1994-01-07,0.3702,7738
"390",1994-01-13,0.474666666666667,7744
"391",1994-01-24,0.428,7755
"392",1994-01-25,0.3482,7756
"393",1994-01-26,0.4305,7757
"394",1994-01-27,0.465,7758
"395",1994-01-28,0.3905,7759
"396",1994-01-29,0.3315,7760
"397",1994-01-30,0.305,7761
"398",1994-01-31,0.363,7762
"399",1994-02-01,0.319571428571429,7763
"400",1994-02-02,0.393875,7764
"401",1994-02-03,0.37125,7765
"402",1994-02-04,0.402333333333333,7766
"403",1994-02-05,0.416333333333333,7767
"404",1994-02-06,0.310666666666667,7768
"405",1994-02-07,0.313,7769
"406",1994-02-08,0.33805,7770
"407",1994-02-09,0.361571428571429,7771
"408",1994-02-10,0.294,7772
"409",1994-02-11,0.3245,7773
"410",1994-02-12,0.327,7774
"411",1994-02-13,0.3055,7775
"412",1994-02-14,0.313,7776
"413",1994-02-15,0.328,7777
"414",1994-02-16,0.349,7778
"415",1994-02-17,0.3675,7779
"416",1994-02-18,0.3975,7780
"417",1994-02-19,0.4045,7781
"418",1994-02-20,0.4025,7782
"419",1994-02-21,0.4055,7783
"420",1994-02-22,0.351,7784
"421",1994-02-23,0.229285714285714,7785
"422",1994-02-24,0.322315789473684,7786
"423",1994-02-25,0.224,7787
"424",1994-02-26,0.263666666666667,7788
"425",1994-02-27,0.299333333333333,7789
"426",1994-02-28,0.329,7790
"427",1994-03-01,0.313333333333333,7791
"428",1994-03-02,0.320333333333333,7792
"429",1994-03-03,0.31325,7793
"430",1994-03-04,0.32775,7794
"431",1994-03-05,0.303,7795
"432",1994-03-06,0.351666666666667,7796
"433",1994-03-07,0.380333333333333,7797
"434",1994-03-08,0.2983,7798
"435",1994-03-09,0.3036,7799
"436",1994-03-10,0.372666666666667,7800
"437",1994-03-11,0.435333333333333,7801
"438",1994-03-12,0.433666666666667,7802
"439",1994-03-13,0.413,7803
"440",1994-03-14,0.415666666666667,7804
"441",1994-03-15,0.384333333333333,7805
"442",1994-03-16,0.34525,7806
"443",1994-03-17,0.290833333333333,7807
"444",1994-03-18,0.3925,7808
"445",1994-03-19,0.38,7809
"446",1994-03-20,0.360666666666667,7810
"447",1994-03-21,0.344666666666667,7811
"448",1994-03-22,0.292,7812
"449",1994-03-23,0.338666666666667,7813
"450",1994-03-24,0.352,7814
"451",1994-03-25,0.336,7815
"452",1994-03-26,0.332666666666667,7816
"453",1994-03-27,0.339,7817
"454",1994-03-28,0.37,7818
"455",1994-03-29,0.398,7819
"456",1994-03-30,0.390666666666667,7820
"457",1994-03-31,0.407666666666667,7821
"458",1994-04-01,0.466333333333333,7822
"459",1994-04-02,0.415333333333333,7823
"460",1994-04-03,0.4345,7824
"461",1994-04-04,0.425,7824
"462",1994-04-05,0.316,7825
"463",1994-04-06,0.344666666666667,7826
"464",1994-04-07,0.327666666666667,7827
"465",1994-04-08,0.344666666666667,7828
"466",1994-04-09,0.404666666666667,7829
"467",1994-04-10,0.388666666666667,7830
"468",1994-04-11,0.39,7831
"469",1994-04-12,0.372666666666667,7832
"470",1994-04-13,0.4025,7833
"471",1994-04-14,0.337,7834
"472",1994-04-15,0.348,7835
"473",1994-04-16,0.356666666666667,7836
"474",1994-04-17,0.372,7837
"475",1994-04-18,0.359,7838
"476",1994-04-19,0.325428571428571,7839
"477",1994-04-20,0.389666666666667,7840
"478",1994-04-21,0.405,7841
"479",1994-04-22,0.413666666666667,7842
"480",1994-04-23,0.416666666666667,7843
"481",1994-04-24,0.410666666666667,7844
"482",1994-04-25,0.415666666666667,7845
"483",1994-04-26,0.332333333333333,7846
"484",1994-04-27,0.401666666666667,7847
"485",1994-04-28,0.408,7848
"486",1994-04-29,0.423,7849
"487",1994-04-30,0.425,7850
"488",1994-05-01,0.4255,7851
"489",1994-05-02,0.3625,7852
"490",1994-05-03,0.284333333333333,7853
"491",1994-05-04,0.291,7854
"492",1994-05-05,0.389666666666667,7855
"493",1994-05-06,0.296,7856
"494",1994-05-07,0.225333333333333,7857
"495",1994-05-08,0.241333333333333,7858
"496",1994-05-09,0.234666666666667,7859
"497",1994-05-10,0.262666666666667,7860
"498",1994-05-11,0.214,7861
"499",1994-05-12,0.216666666666667,7862
"500",1994-05-13,0.168666666666667,7863
"501",1994-05-14,0.129666666666667,7864
"502",1994-05-15,0.11325,7865
"503",1994-05-16,0.092,7866
"504",1994-05-17,0.10525,7867
"505",1994-05-18,0.114666666666667,7868
"506",1994-05-19,0.126,7869
"507",1994-05-20,0.199,7870
"508",1994-05-21,0.185333333333333,7871
"509",1994-05-22,0.235666666666667,7872
"510",1994-05-23,0.206333333333333,7873
"511",1994-05-24,0.213333333333333,7874
"512",1994-05-25,0.20675,7875
"513",1994-05-26,0.184,7876
"514",1994-05-27,0.190333333333333,7877
"515",1994-05-28,0.153333333333333,7878
"516",1994-05-29,0.144666666666667,7879
"517",1994-05-30,0.159,7880
"518",1994-05-31,0.1405,7881
"519",1994-06-01,0.141,7882
"520",1994-06-02,0.151,7883
"521",1994-06-03,0.160333333333333,7884
"522",1994-06-04,0.181666666666667,7885
"523",1994-06-05,0.194333333333333,7886
"524",1994-06-06,0.180666666666667,7887
"525",1994-06-07,0.135,7888
"526",1994-06-08,0.1375,7889
"527",1994-06-09,0.17,7890
"528",1994-06-10,0.2425,7891
"529",1994-06-11,0.146,7892
"530",1994-06-12,0.1105,7893
"531",1994-06-13,0.073,7894
"532",1994-06-14,0.0651666666666667,7895
"533",1994-06-15,0.0396666666666667,7896
"534",1994-06-16,0.0416666666666667,7897
"535",1994-06-17,0.0773333333333333,7898
"536",1994-06-18,0.06,7899
"537",1994-06-19,0.054,7900
"538",1994-06-20,0.0616666666666667,7901
"539",1994-06-21,0.0598333333333333,7902
"540",1994-06-22,0.042,7903
"541",1994-06-23,0.042,7904
"542",1994-06-24,0.0393333333333333,7905
"543",1994-06-25,0.0436666666666667,7906
"544",1994-06-26,0.034,7907
"545",1994-06-27,0.02475,7908
"546",1994-06-28,0.0292857142857143,7909
"547",1994-06-29,0.0283333333333333,7910
"548",1994-06-30,0.0263333333333333,7911
"549",1994-07-01,0.0496666666666667,7912
"550",1994-07-02,0.0383333333333333,7913
"551",1994-07-03,0.032,7914
"552",1994-07-04,0.053,7915
"553",1994-07-05,0.0308333333333333,7916
"554",1994-07-06,0.012,7917
"555",1994-07-07,0.0355,7918
"556",1994-07-08,0.0593333333333333,7919
"557",1994-07-09,0.0496666666666667,7920
"558",1994-07-10,0.0326666666666667,7921
"559",1994-07-11,0.0176666666666667,7922
"560",1994-07-12,0.016,7923
"561",1994-07-13,0.0166666666666667,7924
"562",1994-07-14,0.0366666666666667,7925
"563",1994-07-15,0.019,7926
"564",1994-07-16,0.0273333333333333,7927
"565",1994-07-17,0.0156666666666667,7928
"566",1994-07-18,0.013,7929
"567",1994-07-19,0.0118,7930
"568",1994-07-20,0.0166666666666667,7931
"569",1994-07-21,0.0195,7932
"570",1994-07-22,0.023,7933
"571",1994-07-23,0.0185,7934
"572",1994-07-24,0.0265,7935
"573",1994-07-25,0.0275,7936
"574",1994-07-26,0.0355714285714286,7937
"575",1994-07-27,0.0376666666666667,7938
"576",1994-07-28,0.0296666666666667,7939
"577",1994-07-29,0.0363333333333333,7940
"578",1994-07-30,0.0373333333333333,7941
"579",1994-07-31,0.024,7942
"580",1994-08-01,0.026,7943
"581",1994-08-02,0.027,7944
"582",1994-08-03,0.0135714285714286,7945
"583",1994-08-04,0.0203333333333333,7946
"584",1994-08-05,0.0236666666666667,7947
"585",1994-08-06,0.0223333333333333,7948
"586",1994-08-07,0.0303333333333333,7949
"587",1994-08-08,0.0195,7950
"588",1994-08-09,0.012,7951
"589",1994-08-10,0.0216666666666667,7952
"590",1994-08-11,0.024,7953
"591",1994-08-12,0.0346666666666667,7954
"592",1994-08-13,0.0366666666666667,7955
"593",1994-08-14,0.0463333333333333,7956
"594",1994-08-15,0.0356666666666667,7957
"595",1994-08-16,0.154,7958
"596",1994-08-17,0.0286666666666667,7959
"597",1994-08-18,0.02275,7960
"598",1994-08-19,0.0303333333333333,7961
"599",1994-08-20,0.0136666666666667,7962
"600",1994-08-21,0.012,7963
"601",1994-08-22,0.006,7964
"602",1994-08-23,0.0145,7965
"603",1994-08-24,0.02,7966
"604",1994-08-25,0.027,7967
"605",1994-08-26,0.0446666666666667,7968
"606",1994-08-27,0.0433333333333333,7969
"607",1994-08-28,0.071,7970
"608",1994-08-29,0.071,7971
"609",1994-08-30,0.01775,7972
"610",1994-08-31,0.0145,7973
"611",1994-09-01,0.012,7974
"612",1994-09-02,0.0065,7975
"613",1994-09-03,0.011,7976
"614",1994-09-04,0.007,7977
"615",1994-09-05,0.009,7978
"616",1994-09-06,0.0168,7979
"617",1994-09-07,0.0135,7980
"618",1994-09-08,0.0085,7981
"619",1994-09-09,0.012,7982
"620",1994-09-10,0.0115,7983
"621",1994-09-11,0.013,7984
"622",1994-09-12,0.008,7985
"623",1994-09-13,0.0165,7986
"624",1994-09-14,0.033,7987
"625",1994-09-15,0.0465,7988
"626",1994-09-16,0.0555,7989
"627",1994-09-17,0.0485,7990
"628",1994-09-18,0.0275,7991
"629",1994-09-19,0.012,7992
"630",1994-09-20,0.01,7993
"631",1994-09-21,0.013,7994
"632",1994-09-22,0.0126666666666667,7995
"633",1994-09-23,0.0213333333333333,7996
"634",1994-09-24,0.0156666666666667,7997
"635",1994-09-25,0.0146666666666667,7998
"636",1994-09-26,0.019,7999
"637",1994-09-27,0.0233333333333333,8000
"638",1994-09-28,0.034,8001
"639",1994-09-29,0.0423333333333333,8002
"640",1994-09-30,0.051,8003
"641",1994-10-01,0.069,8004
"642",1994-10-02,0.0716666666666667,8005
"643",1994-10-03,0.0595,8006
"644",1994-10-13,0.032,8016
"645",1994-10-27,0.026,8030
"646",1994-12-13,0.319,8078
"647",1995-01-18,0.424,8114
"648",1995-02-15,0.46,8142
"649",1995-03-14,0.464,8169
"650",1995-04-19,0.436,8204
"651",1995-05-02,0.398,8217
"652",1995-05-16,0.232,8231
"653",1995-06-01,0.015,8247
"654",1995-06-14,0.005,8260
"655",1995-06-28,0.067,8274
"656",1995-07-13,0.081,8289
"657",1995-08-10,NA,8317
"658",1995-09-06,0.165,8344
"659",1995-09-19,0.127,8357
"660",1995-10-26,0.208,8394
"661",1995-11-27,0.256,8427
"662",1995-12-26,0.253,8456
"663",1996-01-17,0.303,8478
"664",1996-02-14,0.31,8506
"665",1996-03-25,0.327,8546
"666",1996-04-15,0.367,8566
"667",1996-04-29,0.295,8580
"668",1996-05-14,0.311,8595
"669",1996-05-28,0.347,8609
"670",1996-06-10,0.233,8622
"671",1996-06-25,0.057,8637
"672",1996-07-23,0.067,8665
"673",1996-08-07,0.022,8680
"674",1996-08-19,NA,8692
"675",1996-09-05,0.057,8709
"676",1996-09-16,NA,8720
"677",1996-10-15,0.249,8749
"678",1996-11-13,0.318,8779
"679",1996-12-11,0.143,8807
"680",1997-01-07,0.323,8834
"681",1997-02-04,0.293,8862
"682",1997-03-04,0.161,8890
"683",1997-04-07,0.33,8923
"684",1997-05-08,0.285,8954
"685",1997-05-21,0.245,8967
"686",1997-06-03,0.301,8980
"687",1997-06-16,0.235,8993
"688",1997-07-14,0.006,9021
"689",1997-08-14,0.006,9052
"690",1997-08-26,0.004,9064
"691",1997-09-08,0.084,9077
"692",1997-09-22,0.01,9091
"693",1997-10-21,0.168,9120
"694",1997-11-18,0.286,9149
"695",1998-01-13,0.314,9205
"696",1998-02-09,0.315,9232
"697",1998-03-17,0.2565,9268
"698",1998-03-30,0.488,9281
"699",1998-04-13,0.458,9294
"700",1998-04-27,0.413,9308
"701",1998-05-12,0.389,9323
"702",1998-05-26,0.346,9337
"703",1998-06-08,0.28,9350
"704",1998-06-22,0.219,9364
"705",1998-07-06,0.165,9378
"706",1998-08-04,0.011,9407
"707",1998-08-17,0.036,9420
"708",1998-09-02,0.025,9436
"709",1998-09-14,0.097,9448
"710",1998-09-28,0.117,9462
"711",1998-10-26,0.15,9491
"712",1998-11-23,0.169,9519
"713",1998-12-22,0.295,9548
"714",1999-01-19,0.2,9576
"715",1999-02-16,0.306,9604
"716",1999-03-17,0.327,9633
"717",1999-04-12,0.089,9658
"718",1999-04-26,0.035,9672
"719",1999-05-10,0.092,9686
"720",1999-05-24,0.055,9700
"721",1999-06-14,0.09,9721
"722",1999-06-21,0.035,9728
"723",1999-07-07,0.007,9744
"724",1999-07-20,0.005,9757
"725",1999-08-02,NA,9770
"726",1999-08-30,0.094,9798
"727",1999-10-12,0.354,9841
"728",1999-11-09,0.485,9870
"729",1999-12-07,0.603,9898
"730",2000-01-13,0.638,9935
"731",2000-02-15,0.669,9968
"732",2000-03-14,0.618,9996
"733",2000-04-11,0.648,10023
"734",2000-05-09,0.538,10051
"735",2000-05-22,0.272,10064
"736",2000-06-05,0.302,10078
"737",2000-06-19,0.337,10092
"738",2000-08-14,0.047,10148
"739",2000-08-28,0.017,10162
"740",2000-09-11,0.006,10176
"741",2000-09-25,NA,10190
"742",2000-10-11,0.051,10206
"743",2000-11-06,0.257,10233
"744",2000-12-04,0.279,10261
"745",2001-01-03,0.339,10291
"746",2001-01-29,0.41,10317
"747",2001-02-28,0.211,10347
"748",2001-04-04,0.256,10381
"749",2001-05-30,0.091,10437
"750",2001-06-14,0.086,10452
"751",2001-06-25,0.108,10463
"752",2001-07-10,0.048,10478
"753",2001-08-09,NA,10508
"754",2001-08-20,0.043,10519
"755",2001-09-04,0.029,10534
"756",2001-10-16,0.194,10576
"757",2001-11-28,0.334,10620
"758",2001-12-11,0.36,10633
"759",2002-01-16,0.42,10669
"760",2002-02-12,0.376,10696
"761",2002-03-13,0.249,10725
"762",2002-04-11,0.205,10753
"763",2002-04-23,0.107,10765
"764",2002-05-07,0.075,10779
"765",2002-05-21,0.258,10793
"766",2002-06-03,NA,10806
"767",2002-06-18,0.153,10821
"768",2002-07-16,0.037,10849
"769",2002-07-30,0.108,10863
"770",2002-08-13,0.132,10877
"771",2002-08-27,0.035,10891
"772",2002-09-10,0.007,10905
"773",2002-09-26,0.127,10921
"774",2002-10-22,0.025,10947
"775",2002-11-20,0.217,10977
"776",2002-12-17,0.342,11004
"777",2003-01-22,0.448,11040
"778",2003-02-19,0.372,11068
"779",2003-03-12,0.339,11089
"780",2003-04-01,0.446,11109
"781",2003-04-16,0.454,11123
"782",2003-05-06,0.363,11143
"783",2003-06-10,0.306,11178
"784",2003-07-15,0.104666666666667,11213
"785",2003-08-28,0.068,11257
"786",2003-09-08,0.033,11268
"787",2003-10-13,0.037,11303
